,Sector,Antwoord_reclass,Year,Aantal_tot,totaal
1,Publiek buiten everzwijngebied,Positief,2017,87,925
2,Publiek buiten everzwijngebied,Positief,2020,93,959
3,Publiek in everzwijngebied,Positief,2017,61,374
4,Publiek in everzwijngebied,Positief,2020,200,983
5,Publiek buiten everzwijngebied,Negatief,2017,417,925
6,Publiek buiten everzwijngebied,Negatief,2020,527,959
7,Publiek in everzwijngebied,Negatief,2017,137,374
8,Publiek in everzwijngebied,Negatief,2020,376,983
9,Publiek buiten everzwijngebied,Neutraal,2017,421,925
10,Publiek buiten everzwijngebied,Neutraal,2020,339,959
11,Publiek in everzwijngebied,Neutraal,2017,176,374
12,Publiek in everzwijngebied,Neutraal,2020,407,983
