,Vraag,Antwoord_reclass,Aantal_tot,totaal
1,populatie_evolutie,Toegenomen,68,135
2,schade_landbouw_evolutie,Toegenomen,63,132
3,schade_privpub_evolutie,Toegenomen,63,130
4,schade_verkeer_evolutie,Toegenomen,42,123
5,populatie_evolutie,Afgenomen,8,135
6,schade_landbouw_evolutie,Afgenomen,12,132
7,schade_privpub_evolutie,Afgenomen,9,130
8,schade_verkeer_evolutie,Afgenomen,12,123
9,populatie_evolutie,Hetzelfde,59,135
10,schade_landbouw_evolutie,Hetzelfde,57,132
11,schade_privpub_evolutie,Hetzelfde,58,130
12,schade_verkeer_evolutie,Hetzelfde,69,123
