,Sector,Antwoord_reclass,Year,Aantal_tot,totaal
1,Publiek buiten everzwijngebied,Ja,2017,718,1018
2,Publiek buiten everzwijngebied,Ja,2020,576,1031
3,Publiek in everzwijngebied,Ja,2017,252,411
4,Publiek in everzwijngebied,Ja,2020,481,1023
5,Publiek buiten everzwijngebied,Nee,2017,300,1018
6,Publiek buiten everzwijngebied,Nee,2020,455,1031
7,Publiek in everzwijngebied,Nee,2017,159,411
8,Publiek in everzwijngebied,Nee,2020,542,1023
