"","Jaar","Beschrijving_gebied","Aantal_Aanzit","kbonummer","wbenaam"
"1",2018,"Meerdaal",417,"300000018","ANB_Meerdaal"
"2",2019,"Meerdaal",451,"300000018","ANB_Meerdaal"
"3",2020,"Meerdaal",497,"300000018","ANB_Meerdaal"
"4",2021,"Meerdaal",483,"300000018","ANB_Meerdaal"
"5",2022,"Meerdaal",332,"300000018","ANB_Meerdaal"
"6",2023,"Meerdaal",139,"300000018","ANB_Meerdaal"
