"","Jaar","provincie_toek","Aantal_drukjachten"
"1",2014,"Antwerpen",2
"2",2014,"Limburg",12
"3",2014,"West-Vlaanderen",1
"4",2015,"Antwerpen",8
"5",2015,"Limburg",13
"6",2015,"West-Vlaanderen",1
"7",2016,"Antwerpen",5
"8",2016,"Limburg",8
"9",2016,"West-Vlaanderen",4
"10",2017,"Antwerpen",18
"11",2017,"Limburg",14
"12",2017,"West-Vlaanderen",1
"13",2018,"Antwerpen",17
"14",2018,"Limburg",21
"15",2018,"Vlaams-Brabant",3
"16",2018,"West-Vlaanderen",1
"17",2019,"Antwerpen",16
"18",2019,"Limburg",40
"19",2019,"Vlaams-Brabant",5
"20",2020,"Antwerpen",4
"21",2020,"Limburg",16
"22",2020,"Vlaams-Brabant",5
"23",2021,"Antwerpen",13
"24",2021,"Limburg",40
"25",2021,"Vlaams-Brabant",12
"26",2022,"Limburg",21
"27",2022,"Vlaams-Brabant",7
