NAAM;length_km;area_km;dens_km;Niveau
Aartselaar;95,14;11,02;8,63;Gemeente
Antwerpen;2098,93;204,32;10,27;Gemeente
Boechout;116,06;20,71;5,60;Gemeente
Boom;97,52;7,38;13,21;Gemeente
Borsbeek;39,33;3,90;10,08;Gemeente
Brasschaat;301,66;38,58;7,82;Gemeente
Brecht;447,28;91,47;4,89;Gemeente
Edegem;95,78;8,72;10,99;Gemeente
Essen;263,08;47,57;5,53;Gemeente
Hemiksem;49,62;5,48;9,05;Gemeente
Hove;51,39;6,02;8,54;Gemeente
Kalmthout;254,64;59,41;4,29;Gemeente
Kapellen;238,65;37,22;6,41;Gemeente
Kontich;179,22;23,80;7,53;Gemeente
Lint;45,11;5,65;7,98;Gemeente
Mortsel;98,48;7,78;12,65;Gemeente
Niel;49,84;5,35;9,32;Gemeente
Ranst;298,79;43,67;6,84;Gemeente
Rumst;151,34;20,15;7,51;Gemeente
Schelle;57,19;7,83;7,31;Gemeente
Schilde;230,37;36,09;6,38;Gemeente
Schoten;274,47;29,51;9,30;Gemeente
Stabroek;114,94;21,42;5,37;Gemeente
Wijnegem;79,58;7,88;10,09;Gemeente
Wommelgem;112,58;12,99;8,66;Gemeente
Wuustwezel;381,45;89,41;4,27;Gemeente
Zandhoven;244,42;40,10;6,10;Gemeente
Zoersel;234,77;38,69;6,07;Gemeente
Zwijndrecht;164,96;20,25;8,15;Gemeente
Malle;234,05;51,90;4,51;Gemeente
Berlaar;135,92;24,53;5,54;Gemeente
Bonheiden;186,42;29,19;6,39;Gemeente
Bornem;270,50;46,19;5,86;Gemeente
Duffel;175,96;22,60;7,79;Gemeente
Heist-op-den-Berg;514,06;86,67;5,93;Gemeente
Lier;365,42;49,85;7,33;Gemeente
Mechelen;563,42;65,79;8,56;Gemeente
Nijlen;236,87;39,20;6,04;Gemeente
Putte;216,66;35,16;6,16;Gemeente
Sint-Katelijne-Waver;234,59;36,16;6,49;Gemeente
Willebroek;209,00;27,37;7,64;Gemeente
Puurs-Sint-Amands;325,59;49,14;6,63;Gemeente
Arendonk;212,80;55,15;3,86;Gemeente
Baarle-Hertog;26,71;7,41;3,60;Gemeente
Balen;368,75;72,99;5,05;Gemeente
Beerse;210,75;37,36;5,64;Gemeente
Dessel;140,31;27,45;5,11;Gemeente
Geel;646,04;110,20;5,86;Gemeente
Grobbendonk;186,07;28,37;6,56;Gemeente
Herentals;324,26;47,95;6,76;Gemeente
Herenthout;100,15;23,61;4,24;Gemeente
Herselt;281,12;52,37;5,37;Gemeente
Hoogstraten;461,76;105,40;4,38;Gemeente
Hulshout;116,50;17,38;6,70;Gemeente
Kasterlee;365,85;72,27;5,06;Gemeente
Lille;284,17;59,62;4,77;Gemeente
Meerhout;201,95;36,54;5,53;Gemeente
Merksplas;180,76;44,61;4,05;Gemeente
Mol;565,54;114,55;4,94;Gemeente
Olen;175,21;23,12;7,58;Gemeente
Oud-Turnhout;202,62;39,17;5,17;Gemeente
Ravels;350,28;95,14;3,68;Gemeente
Retie;184,84;48,50;3,81;Gemeente
Rijkevorsel;187,69;46,84;4,01;Gemeente
Turnhout;336,26;56,71;5,93;Gemeente
Vorselaar;101,09;27,62;3,66;Gemeente
Vosselaar;102,67;11,83;8,68;Gemeente
Westerlo;349,74;55,47;6,31;Gemeente
Laakdal;232,00;42,43;5,47;Gemeente
Asse;278,12;50,22;5,54;Gemeente
Beersel;254,42;30,40;8,37;Gemeente
Bever;61,25;19,24;3,18;Gemeente
Dilbeek;329,61;41,48;7,95;Gemeente
Galmaarden;126,19;35,29;3,58;Gemeente
Gooik;165,18;40,21;4,11;Gemeente
Grimbergen;264,89;38,67;6,85;Gemeente
Halle;317,71;44,98;7,06;Gemeente
Herne;150,04;44,66;3,36;Gemeente
Hoeilaart;153,38;20,53;7,47;Gemeente
Kampenhout;171,38;33,65;5,09;Gemeente
Kapelle-op-den-Bos;81,63;15,37;5,31;Gemeente
Liedekerke;77,70;10,17;7,64;Gemeente
Londerzeel;203,39;36,53;5,57;Gemeente
Machelen;150,34;11,50;13,08;Gemeente
Meise;235,84;35,07;6,73;Gemeente
Merchtem;185,43;36,90;5,02;Gemeente
Opwijk;111,18;19,92;5,58;Gemeente
Overijse;306,52;44,99;6,81;Gemeente
Pepingen;126,23;35,93;3,51;Gemeente
Sint-Pieters-Leeuw;265,02;40,67;6,52;Gemeente
Steenokkerzeel;163,42;23,63;6,92;Gemeente
Ternat;157,52;24,71;6,37;Gemeente
Vilvoorde;244,02;21,57;11,31;Gemeente
Zaventem;295,11;27,73;10,64;Gemeente
Zemst;265,67;43,23;6,15;Gemeente
Roosdaal;120,01;21,92;5,48;Gemeente
Drogenbos;32,61;2,50;13,06;Gemeente
Kraainem;77,65;5,84;13,30;Gemeente
Linkebeek;35,62;4,19;8,50;Gemeente
Sint-Genesius-Rode;186,10;22,75;8,18;Gemeente
Wemmel;85,36;8,77;9,73;Gemeente
Wezembeek-Oppem;87,28;6,86;12,72;Gemeente
Lennik;162,27;31,12;5,21;Gemeente
Affligem;122,36;17,92;6,83;Gemeente
Aarschot;430,48;63,05;6,83;Gemeente
Begijnendijk;113,16;17,66;6,41;Gemeente
Bekkevoort;159,05;37,28;4,27;Gemeente
Bertem;127,78;29,99;4,26;Gemeente
Bierbeek;180,88;38,97;4,64;Gemeente
Boortmeerbeek;140,22;18,77;7,47;Gemeente
Boutersem;129,04;31,14;4,14;Gemeente
Diest;316,64;58,72;5,39;Gemeente
Geetbets;117,27;35,52;3,30;Gemeente
Haacht;170,82;30,74;5,56;Gemeente
Herent;183,85;32,74;5,62;Gemeente
Hoegaarden;151,12;34,13;4,43;Gemeente
Holsbeek;149,55;38,78;3,86;Gemeente
Huldenberg;156,30;39,95;3,91;Gemeente
Keerbergen;157,99;18,54;8,52;Gemeente
Kortenaken;182,37;49,44;3,69;Gemeente
Kortenberg;182,30;34,70;5,25;Gemeente
Landen;247,41;53,30;4,64;Gemeente
Leuven;626,99;57,51;10,90;Gemeente
Lubbeek;231,08;45,28;5,10;Gemeente
Oud-Heverlee;186,65;31,18;5,99;Gemeente
Rotselaar;223,70;37,22;6,01;Gemeente
Tervuren;245,53;33,62;7,30;Gemeente
Tienen;406,42;72,77;5,58;Gemeente
Tremelo;163,64;21,89;7,48;Gemeente
Zoutleeuw;186,81;46,85;3,99;Gemeente
Linter;152,44;36,87;4,13;Gemeente
Scherpenheuvel-Zichem;272,61;51,15;5,33;Gemeente
Tielt-Winge;206,18;44,52;4,63;Gemeente
Glabbeek;109,95;26,99;4,07;Gemeente
Beernem;361,96;72,42;5,00;Gemeente
Blankenberge;128,89;19,02;6,78;Gemeente
Brugge;1132,09;140,99;8,03;Gemeente
Damme;365,08;90,36;4,04;Gemeente
Jabbeke;298,01;53,86;5,53;Gemeente
Oostkamp;406,59;80,13;5,07;Gemeente
Torhout;264,60;45,33;5,84;Gemeente
Zedelgem;363,05;60,66;5,99;Gemeente
Zuienkerke;138,13;48,90;2,82;Gemeente
Knokke-Heist;367,09;61,59;5,96;Gemeente
Diksmuide;492,64;150,74;3,27;Gemeente
Houthulst;226,23;56,02;4,04;Gemeente
Koekelare;163,97;39,44;4,16;Gemeente
Kortemark;236,86;55,43;4,27;Gemeente
