Code,Area_m2,Area_ha,Area_km2,Area_hab_m2_bebouwd,Area_hab_m2_bos,Area_hab_m2_grasland,Area_hab_m2_landbouw,Area_hab_m2_water,Area_hab_m2_andere,Area_hab_ha_bebouwd,Area_hab_ha_bos,Area_hab_ha_grasland,Area_hab_ha_landbouw,Area_hab_ha_water,Area_hab_ha_andere,Area_hab_km2_bebouwd,Area_hab_km2_bos,Area_hab_km2_grasland,Area_hab_km2_landbouw,Area_hab_km2_water,Area_hab_km2_andere,perc_bos,perc_water,perc_landbouw,perc_grasland,perc_bebouwd,perc_andere,densiteit_bos,gem_opp_bos_m2,perimeter_bos_m,gem_opp_bos_ha,gem_opp_bos_km2
1,2180876729.2343574,218087.67292343575,2180.8767292343573,383870360.27106065,41660438.542727746,211461908.58920565,1510789650.212478,25554013.041803434,7540358.5770820975,38387.03602710606,4166.043854272774,21146.190858920567,151078.9650212478,2555.4013041803437,754.0358577082097,383.8703602710606,41.660438542727746,211.46190858920565,1510.789650212478,25.554013041803433,7.540358577082097,0.019102610424640332,0.01171731198708086,0.6927441748359947,0.09696188040093573,0.17601653276653853,0.003457489584809912,66,631218.7657989053,312623.3942947,63.12187657989053,0.6312187657989052
2,1593236140.0172904,159323.61400172903,1593.2361400172904,346644156.9772364,54443055.687249325,175339230.5479494,993259595.2655398,21223040.797879763,2327060.741435647,34664.41569772364,5444.3055687249325,17533.92305479494,99325.95952655398,2122.3040797879767,232.7060741435647,346.6441569772364,54.44305568724932,175.3392305479494,993.2595952655397,21.22304079787976,2.327060741435647,0.034171366265052516,0.01332071264567815,0.6234227119997169,0.11005225537128888,0.21757236624915782,0.0014605874691057366,72,756153.5512117962,365118.393018418,75.61535512117963,0.7561535512117962
3,1601076786.351157,160107.6786351157,1601.076786351157,436780667.46760124,30147317.880356744,109165221.38124643,1023828964.6103582,1153937.383900709,677.627693593502,43678.06674676012,3014.7317880356745,10916.522138124643,102382.89646103582,115.3937383900709,0.0677627693593502,436.78066746760123,30.14731788035674,109.16522138124643,1023.8289646103582,1.1539373839007088,6.776276935935021e-4,0.018829401648538215,7.207258226074993e-4,0.6394627499057415,0.06818237720505163,0.2728043221855845,4.2323247664954964e-7,59,510971.48949757195,261094.105028683,51.0971489497572,0.5109714894975719
4,1624269041.2871583,162426.90412871583,1624.2690412871582,514406308.6060754,88807203.96374308,99002046.10453741,869586507.9601264,52467523.41622806,0,51440.63086060754,8880.720396374307,9900.204610453742,86958.65079601265,5246.752341622807,0,514.4063086060754,88.80720396374306,99.0020461045374,869.5865079601264,52.46752341622806,0,0.054675181085374544,0.0323022369340057,0.5353709797183718,0.0609517534275497,0.31670018668731886,0,98,906195.9588137048,590356.390150733,90.61959588137049,0.9061959588137047
5,1693928218.5316916,169392.82185316915,1693.9282185316915,433501244.8123636,336848862.0807005,261268335.30912822,609138025.5577403,50480596.20956367,2691154.5621952415,43350.124481236366,33684.88620807006,26126.833530912823,60913.80255577404,5048.059620956367,269.11545621952416,433.5012448123636,336.8488620807005,261.26833530912825,609.1380255577403,50.48059620956367,2.6911545621952415,0.19885663299988202,0.02980090635323414,0.3596008490169349,0.15423813857685031,0.25591476667655105,0.0015887063765476156,293,1149654.8193880564,2081883.36082718,114.96548193880565,1.1496548193880562
6,1514214452.2554936,151421.44522554937,1514.2144522554936,503455188.7463243,213261122.70909193,178983940.62929472,599520422.7060547,18994162.157428455,0,50345.518874632435,21326.112270909194,17898.394062929474,59952.042270605474,1899.4162157428457,0,503.45518874632427,213.26112270909192,178.98394062929472,599.5204227060547,18.994162157428455,0,0.14083944476387045,0.012543904946314412,0.3959283454289059,0.11820250451492503,0.3324860544002893,0,195,1093646.7831235484,1372412.30392377,109.36467831235484,1.0936467831235483
7,1290355347.9647357,129035.53479647358,1290.3553479647358,336214179.43897486,66439852.78692693,58000697.49973092,825921025.2214873,3778707.2605049545,885.7571107149124,33621.41794389748,6643.985278692693,5800.069749973093,82592.10252214872,377.8707260504955,0.08857571107149124,336.21417943897484,66.43985278692692,58.00069749973092,825.9210252214872,3.7787072605049543,8.857571107149124e-4,0.05148957834888027,0.0029284237605285016,0.6400725401140113,0.04494939908701493,0.2605593722452362,6.864443287750216e-7,108,615183.8221011753,509250.298784105,61.51838221011754,0.6151838221011753
8,375472232.1926843,37547.22321926843,375.47223219268426,137679548.3674559,69646282.08055563,5119118.703373032,162040803.4766384,986385.4301174134,94.13454389572144,13767.95483674559,6964.628208055564,511.9118703373032,16204.080347663843,98.63854301174135,0.009413454389572144,137.6795483674559,69.64628208055564,5.119118703373031,162.04080347663842,0.9863854301174133,9.413454389572143e-5,0.18548983415853415,0.002627052936397229,0.43156534513977735,0.013633814339554169,0.3666837027160019,2.507097351673495e-7,59,1180445.4589924684,369610.711773008,118.04454589924684,1.1804454589924684
9,1700160327.4975379,170016.0327497538,1700.1603274975378,469895097.8367339,442126899.7429416,118520260.22220066,624985138.2940582,42473676.05723373,2159255.3443697095,46989.509783673384,44212.68997429417,11852.026022220067,62498.51382940582,4247.367605723373,215.92553443697096,469.89509783673384,442.1268997429416,118.52026022220066,624.9851382940582,42.47367605723373,2.1592553443697096,0.26005012150454493,0.024982159253033882,0.36760364783594995,0.06971122564461339,0.27638281533622855,0.0012700304256292774,358,1234991.3400640828,2602596.28568801,123.49913400640828,1.2349913400640826
10,50695844.92948234,5069.584492948235,50.69584492948234,6655294.227535565,8830597.522926806,10636547.1033999,24572826.2894874,579.3186286839122,0.4675039844587445,665.5294227535566,883.0597522926807,1063.65471033999,2457.28262894874,0.05793186286839122,4.675039844587446e-5,6.655294227535565,8.830597522926805,10.6365471033999,24.5728262894874,5.793186286839121e-4,4.675039844587445e-7,0.17418779655828048,1.1427339449411316e-5,0.48471085398947533,0.20981102333327875,0.1312788895577743,9.221741645869403e-9,10,883059.7522926807,59336.8488173993,88.30597522926807,0.8830597522926806
