labeltype;WBE_Naam_Toek;labeljaar;provincie_toek;toegekend;verwezenlijkt;percentage_verwezelijkt;KboNummer_Toek
Bokken;'t Veld;2009;West-Vlaanderen;2;2;100;456226137
Bokken;'t Veld;2010;West-Vlaanderen;2;2;100;456226137
Bokken;'t Veld;2011;West-Vlaanderen;3;0;0;456226137
Bokken;'t Veld;2012;West-Vlaanderen;4;1;25;456226137
Bokken;'t Veld;2013;West-Vlaanderen;2;0;0;456226137
Bokken;'t Veld;2014;West-Vlaanderen;1;1;100;456226137
Bokken;'t Veld;2015;West-Vlaanderen;3;0;0;456226137
Bokken;'t Veld;2016;West-Vlaanderen;3;0;0;456226137
Bokken;'t Veld;2017;West-Vlaanderen;3;1;33.33333333333333;456226137
Bokken;'t Veld;2018;West-Vlaanderen;3;0;0;456226137
Bokken;'t Veld;2019;West-Vlaanderen;1;0;0;456226137
Bokken;'t Veld;2020;West-Vlaanderen;2;0;0;456226137
Bokken;'t Veld;2021;West-Vlaanderen;2;0;0;456226137
Bokken;'t Veld;2022;West-Vlaanderen;2;0;0;456226137
Bokken;4B;2002;Antwerpen;8;3;37.5;450516104
Bokken;4B;2003;Antwerpen;6;3;50;450516104
Bokken;4B;2005;Antwerpen;8;4;50;450516104
Bokken;4B;2006;Antwerpen;12;7;58.333333333333336;450516104
Bokken;4B;2007;Antwerpen;16;9;56.25;450516104
Bokken;4B;2008;Antwerpen;11;10;90.9090909090909;450516104
Bokken;4B;2009;Antwerpen;13;13;100;450516104
Bokken;4B;2010;Antwerpen;14;14;100;450516104
Bokken;4B;2011;Antwerpen;22;21;95.45454545454545;450516104
Bokken;4B;2012;Antwerpen;25;24;96;450516104
Bokken;4B;2013;Antwerpen;29;28;96.55172413793103;450516104
Bokken;4B;2014;Antwerpen;33;0;0;450516104
Bokken;4B;2015;Antwerpen;29;5;17.24137931034483;450516104
Bokken;4B;2016;Antwerpen;15;15;100;450516104
Bokken;4B;2017;Antwerpen;15;15;100;450516104
Bokken;4B;2018;Antwerpen;21;21;100;450516104
Bokken;4B;2019;Antwerpen;21;21;100;450516104
