NISCODE,Area_m2,Area_ha,Area_km2,Area_hab_m2_bebouwd,Area_hab_m2_bos,Area_hab_m2_grasland,Area_hab_m2_landbouw,Area_hab_m2_water,Area_hab_m2_andere,Area_hab_ha_bebouwd,Area_hab_ha_bos,Area_hab_ha_grasland,Area_hab_ha_landbouw,Area_hab_ha_water,Area_hab_ha_andere,Area_hab_km2_bebouwd,Area_hab_km2_bos,Area_hab_km2_grasland,Area_hab_km2_landbouw,Area_hab_km2_water,Area_hab_km2_andere,perc_bos,perc_water,perc_landbouw,perc_grasland,perc_bebouwd,perc_andere
38014,5.115521897359232,5.115521897359232e-4,5.1155218973592314e-6,16133743.199505556,4761975.312198786,731626.8940160356,21258055.87235625,4171246.288055529,0,1613.3743199505557,476.19753121987867,73.16268940160356,2125.8055872356254,417.1246288055529,0,16.133743199505556,4.7619753121987864,0.7316268940160355,21.258055872356252,4.171246288055529,0,930887.4847465797,815409.7219696855,4155598.64641186,143020.96808415986,3153880.1950655757,0
31043,7.077660046092331,7.077660046092331e-4,7.07766004609233e-6,14674377.593455998,1426866.2489117205,3394113.869280028,34393617.02524179,4586878.497521644,0,1467.4377593456,142.68662489117204,339.41138692800286,3439.3617025241797,458.6878497521644,0,14.674377593455999,1.4268662489117205,3.394113869280028,34.393617025241795,4.586878497521644,0,201601.41058194963,648078.385744752,4859461.57363562,479553.10754914867,2073337.444563746,0
45041,0.055842495047138035,5.584249504713804e-6,5.584249504713803e-8,12881295.01258129,2892474.1500715697,551313.2398435485,18425853.33621185,0,0,1288.129501258129,289.247415007157,55.13132398435485,1842.585333621185,0,0,12.881295012581289,2.89247415007157,0.5513132398435485,18.42585333621185,0,0,51797007.773917705,0,329961140.1793227,9872646.97571574,230671910.3741312,0
38016,1.68548494861752,1.6854849486175203e-4,1.68548494861752e-6,7414303.074878891,749837.5754564613,1271733.731658773,20227824.96242282,2903499.1192883514,0,741.4303074878891,74.98375754564613,127.17337316587731,2022.7824962422824,290.3499119288352,0,7.41430307487889,0.7498375754564612,1.2717337316587731,20.22782496242282,2.9034991192883512,0,444879.42539712274,1722649.0937637142,12001189.91214619,754520.9660293218,4398913.844327296,0
35002,1.706923226239684,1.706923226239684e-4,1.706923226239684e-6,6474239.795769772,285769.6613553733,0,5914290.780125007,957936.1128522416,0,647.4239795769772,28.57696613553733,0,591.4290780125007,95.79361128522416,0,6.474239795769772,0.28576966135537324,0,5.914290780125007,0.9579361128522416,0,167417.99335926655,561206.3261700146,3464883.8853485314,0,3792929.697273137,0
35029,6.072882613218168,6.072882613218168e-4,6.072882613218167e-6,8423287.023095971,2432960.664099689,6722870.032623217,23978061.696222305,3609972.283428017,0,842.3287023095972,243.29606640996894,672.2870032623217,2397.8061696222308,360.9972283428017,0,8.423287023095972,2.4329606640996895,6.7228700326232165,23.978061696222305,3.609972283428017,0,400626.9870595118,594441.3079170331,3948382.2137500118,1107031.118630598,1387032.7420394954,0
35013,4.358693903010938,4.3586939030109377e-4,4.358693903010938e-6,23916260.081725895,132169.36991112196,1427574.856331767,11409493.27851469,2993164.6981648887,0,2391.6260081725895,13.216936991112197,142.7574856331767,1140.9493278514692,299.3164698164889,0,23.916260081725895,0.13216936991112196,1.427574856331767,11.40949327851469,2.9931646981648887,0,30323.159380341163,686711.3784010488,2617640.406139357,327523.5398717983,5487024.465105202,0
31005,1.3626268201766534,1.3626268201766536e-4,1.3626268201766534e-6,64745972.74585577,6828985.664894344,11374930.740540028,45020538.99400446,12104567.66206614,0,6474.597274585577,682.8985664894345,1137.4930740540028,4502.0538994004455,1210.456766206614,0,64.74597274585577,6.828985664894344,11.374930740540028,45.020538994004454,12.104567662066138,0,5011633.092624011,8883259.512312315,33039522.14016154,8347796.015834593,47515557.295035474,0
23025,0.11837942015639749,1.1837942015639749e-5,1.1837942015639749e-7,17166328.878542647,1380298.3239465198,0,19114536.018024288,1009898.2393743474,0,1716.632887854265,138.02983239465198,0,1911.4536018024291,100.98982393743475,0,17.166328878542647,1.3802983239465196,0,19.11453601802429,1.0098982393743474,0,11659951.722376512,8531028.772062879,161468403.82197374,0,145011091.08207554,0
31004,1.9607718841707986,1.9607718841707988e-4,1.9607718841707987e-6,4809041.7769813575,0,5745441.505142446,7029158.334135301,907237.6564330565,0,480.9041776981358,0,574.5441505142445,702.9158334135301,90.72376564330565,0,4.809041776981358,0,5.745441505142445,7.0291583341353014,0.9072376564330564,0,0,462694.13783272554,3584893.4753100565,2930193.7423343696,2452626.8536408963,0
