"afschotjaar","gemeente_afschot_locatie","UTM5","aantal","wildsoort","dataSource"
2022,"Wellen","FS63A",1,"Wild zwijn","waarnemingen.be"
2022,"Wellen","FS63A",1,"Wild zwijn","waarnemingen.be"
2018,"Aartselaar","ES96D",1,"Wild zwijn","waarnemingen.be"
2013,"Tienen","FS32B",1,"Wild zwijn","waarnemingen.be"
2012,"Voeren","FS92A",4,"Wild zwijn","waarnemingen.be"
2021,"Voeren","FS92A",2,"Wild zwijn","waarnemingen.be"
2008,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2014,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2014,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2014,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2014,"Voeren","FS92B",3,"Wild zwijn","waarnemingen.be"
2015,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2016,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2016,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2016,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2017,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2018,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2019,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2019,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2019,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2020,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2022,"Voeren","FS92B",1,"Wild zwijn","waarnemingen.be"
2020,"Voeren","FS92D",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS02B",4,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS02B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12A",3,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",4,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",4,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",4,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",3,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12A",11,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2020,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2021,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2021,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2021,"Huldenberg","FS12A",1,"Wild zwijn","waarnemingen.be"
2012,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2017,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2017,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",12,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",17,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",17,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",2,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",2,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",2,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",2,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",5,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2018,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",8,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",2,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",4,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
2019,"Huldenberg","FS12B",1,"Wild zwijn","waarnemingen.be"
