Provincie;Jaar;Labeltype;Aantal
Antwerpen;2002;Bokken;482
Antwerpen;2002;Geiten;453
Antwerpen;2002;Kitsen;678
Antwerpen;2003;Bokken;448
Antwerpen;2003;Geiten;434
Antwerpen;2003;Kitsen;648
Antwerpen;2004;Bokken;533
Antwerpen;2004;Geiten;505
Antwerpen;2004;Kitsen;765
Antwerpen;2005;Bokken;605
Antwerpen;2005;Geiten;560
Antwerpen;2005;Kitsen;854
Antwerpen;2006;Bokken;652
Antwerpen;2006;Geiten;604
Antwerpen;2006;Kitsen;893
Antwerpen;2007;Bokken;690
Antwerpen;2007;Geiten;606
Antwerpen;2007;Kitsen;986
Antwerpen;2008;Bokken;679
Antwerpen;2008;Geiten;583
Antwerpen;2008;Kitsen;926
Antwerpen;2009;Bokken;716
Antwerpen;2009;Geiten;607
Antwerpen;2009;Kitsen;1046
Antwerpen;2010;Bokken;712
Antwerpen;2010;Geiten;589
Antwerpen;2010;Kitsen;956
Antwerpen;2011;Bokken;712
Antwerpen;2011;Geiten;561
Antwerpen;2011;Kitsen;964
Antwerpen;2012;Bokken;727
Antwerpen;2012;Geiten;540
Antwerpen;2012;Kitsen;926
Antwerpen;2013;Bokken;758
Antwerpen;2013;Geiten;552
Antwerpen;2013;Kitsen;955
Antwerpen;2014;Bokken;786
Antwerpen;2014;Geiten;578
Antwerpen;2014;Kitsen;989
Antwerpen;2015;Bokken;727
Antwerpen;2015;Geiten;541
Antwerpen;2015;Kitsen;987
Antwerpen;2016;Bokken;749
Antwerpen;2016;Geiten;551
Antwerpen;2016;Kitsen;1020
Antwerpen;2017;Bokken;732
Antwerpen;2017;Geiten;552
Antwerpen;2017;Kitsen;1015
Antwerpen;2018;Bokken;763
Antwerpen;2018;Geiten;560
Antwerpen;2018;Kitsen;1007
Antwerpen;2019;Bokken;766
Antwerpen;2019;Geiten;564
Antwerpen;2019;Kitsen;1009
Antwerpen;2020;Bokken;770
Antwerpen;2020;Geiten;565
Antwerpen;2020;Kitsen;1011
Antwerpen;2021;Bokken;794
Antwerpen;2021;Geiten;573
Antwerpen;2021;Kitsen;1028
Antwerpen;2022;Bokken;798
Antwerpen;2022;Geiten;575
Antwerpen;2022;Kitsen;1031
Limburg;2002;Bokken;603
Limburg;2002;Geiten;516
Limburg;2002;Kitsen;881
Limburg;2003;Bokken;701
Limburg;2003;Geiten;593
Limburg;2003;Kitsen;1016
Limburg;2004;Bokken;656
Limburg;2004;Geiten;577
Limburg;2004;Kitsen;1060
Limburg;2005;Bokken;761
Limburg;2005;Geiten;672
Limburg;2005;Kitsen;1204
Limburg;2006;Bokken;760
Limburg;2006;Geiten;628
Limburg;2006;Kitsen;1228
Limburg;2007;Bokken;792
Limburg;2007;Geiten;659
Limburg;2007;Kitsen;1250
Limburg;2008;Bokken;877
Limburg;2008;Geiten;731
Limburg;2008;Kitsen;1305
Limburg;2009;Bokken;888
Limburg;2009;Geiten;795
Limburg;2009;Kitsen;1425
Limburg;2010;Bokken;984
Limburg;2010;Geiten;920
Limburg;2010;Kitsen;1691
Limburg;2011;Bokken;1043
Limburg;2011;Geiten;915
Limburg;2011;Kitsen;1835
Limburg;2012;Bokken;1014
Limburg;2012;Geiten;899
Limburg;2012;Kitsen;1817
Limburg;2013;Bokken;1054
Limburg;2013;Geiten;918
Limburg;2013;Kitsen;1843
Limburg;2014;Bokken;1067
Limburg;2014;Geiten;878
Limburg;2014;Kitsen;1578
Limburg;2015;Bokken;1030
Limburg;2015;Geiten;762
Limburg;2015;Kitsen;1454
Limburg;2016;Bokken;1032
Limburg;2016;Geiten;778
Limburg;2016;Kitsen;1479
