Provincie;Jaar;Labeltype;Aantal
Limburg;2017;Bokken;1035
Limburg;2017;Geiten;781
Limburg;2017;Kitsen;1490
Limburg;2018;Bokken;1088
Limburg;2018;Geiten;814
Limburg;2018;Kitsen;1547
Limburg;2019;Bokken;1118
Limburg;2019;Geiten;816
Limburg;2019;Kitsen;1561
Limburg;2020;Bokken;1152
Limburg;2020;Geiten;838
Limburg;2020;Kitsen;1634
Limburg;2021;Bokken;1145
Limburg;2021;Geiten;827
Limburg;2021;Kitsen;1619
Limburg;2022;Bokken;1147
Limburg;2022;Geiten;829
Limburg;2022;Kitsen;1618
Oost-Vlaanderen;2002;Bokken;1
Oost-Vlaanderen;2002;Kitsen;1
Oost-Vlaanderen;2004;Bokken;3
Oost-Vlaanderen;2004;Geiten;1
Oost-Vlaanderen;2004;Kitsen;2
Oost-Vlaanderen;2005;Bokken;5
Oost-Vlaanderen;2005;Geiten;2
Oost-Vlaanderen;2005;Kitsen;7
Oost-Vlaanderen;2006;Bokken;8
Oost-Vlaanderen;2006;Geiten;5
Oost-Vlaanderen;2006;Kitsen;9
Oost-Vlaanderen;2007;Bokken;15
Oost-Vlaanderen;2007;Geiten;5
Oost-Vlaanderen;2007;Kitsen;12
Oost-Vlaanderen;2008;Bokken;18
Oost-Vlaanderen;2008;Geiten;6
Oost-Vlaanderen;2008;Kitsen;17
Oost-Vlaanderen;2009;Bokken;13
Oost-Vlaanderen;2009;Geiten;15
Oost-Vlaanderen;2009;Kitsen;15
Oost-Vlaanderen;2010;Bokken;41
Oost-Vlaanderen;2010;Geiten;43
Oost-Vlaanderen;2010;Kitsen;73
Oost-Vlaanderen;2011;Bokken;48
Oost-Vlaanderen;2011;Geiten;50
Oost-Vlaanderen;2011;Kitsen;85
Oost-Vlaanderen;2012;Bokken;88
Oost-Vlaanderen;2012;Geiten;80
Oost-Vlaanderen;2012;Kitsen;123
Oost-Vlaanderen;2013;Bokken;138
Oost-Vlaanderen;2013;Geiten;104
Oost-Vlaanderen;2013;Kitsen;157
Oost-Vlaanderen;2014;Bokken;180
Oost-Vlaanderen;2014;Geiten;125
Oost-Vlaanderen;2014;Kitsen;175
Oost-Vlaanderen;2015;Bokken;172
Oost-Vlaanderen;2015;Geiten;120
Oost-Vlaanderen;2015;Kitsen;215
Oost-Vlaanderen;2016;Bokken;199
Oost-Vlaanderen;2016;Geiten;143
Oost-Vlaanderen;2016;Kitsen;229
Oost-Vlaanderen;2017;Bokken;216
Oost-Vlaanderen;2017;Geiten;151
Oost-Vlaanderen;2017;Kitsen;248
Oost-Vlaanderen;2018;Bokken;270
Oost-Vlaanderen;2018;Geiten;187
Oost-Vlaanderen;2018;Kitsen;316
Oost-Vlaanderen;2019;Bokken;288
Oost-Vlaanderen;2019;Geiten;205
Oost-Vlaanderen;2019;Kitsen;353
Oost-Vlaanderen;2020;Bokken;301
Oost-Vlaanderen;2020;Geiten;217
Oost-Vlaanderen;2020;Kitsen;378
Oost-Vlaanderen;2021;Bokken;368
Oost-Vlaanderen;2021;Geiten;273
Oost-Vlaanderen;2021;Kitsen;474
Oost-Vlaanderen;2022;Bokken;417
Oost-Vlaanderen;2022;Geiten;312
Oost-Vlaanderen;2022;Kitsen;532
Vlaams-Brabant;2002;Bokken;254
Vlaams-Brabant;2002;Geiten;201
Vlaams-Brabant;2002;Kitsen;265
Vlaams-Brabant;2003;Bokken;309
Vlaams-Brabant;2003;Geiten;268
Vlaams-Brabant;2003;Kitsen;303
Vlaams-Brabant;2004;Bokken;284
Vlaams-Brabant;2004;Geiten;228
Vlaams-Brabant;2004;Kitsen;293
Vlaams-Brabant;2005;Bokken;325
Vlaams-Brabant;2005;Geiten;247
Vlaams-Brabant;2005;Kitsen;348
Vlaams-Brabant;2006;Bokken;332
Vlaams-Brabant;2006;Geiten;284
Vlaams-Brabant;2006;Kitsen;386
Vlaams-Brabant;2007;Bokken;307
Vlaams-Brabant;2007;Geiten;283
Vlaams-Brabant;2007;Kitsen;357
Vlaams-Brabant;2008;Bokken;260
Vlaams-Brabant;2008;Geiten;264
Vlaams-Brabant;2008;Kitsen;351
Vlaams-Brabant;2009;Bokken;270
Vlaams-Brabant;2009;Geiten;264
Vlaams-Brabant;2009;Kitsen;391
Vlaams-Brabant;2010;Bokken;293
Vlaams-Brabant;2010;Geiten;308
Vlaams-Brabant;2010;Kitsen;413
Vlaams-Brabant;2011;Bokken;333
Vlaams-Brabant;2011;Geiten;340
Vlaams-Brabant;2011;Kitsen;479
Vlaams-Brabant;2012;Bokken;357
Vlaams-Brabant;2012;Geiten;303
Vlaams-Brabant;2012;Kitsen;404
Vlaams-Brabant;2013;Bokken;380
Vlaams-Brabant;2013;Geiten;314
Vlaams-Brabant;2013;Kitsen;410
Vlaams-Brabant;2014;Bokken;417
Vlaams-Brabant;2014;Geiten;345
Vlaams-Brabant;2014;Kitsen;427
Vlaams-Brabant;2015;Bokken;357
Vlaams-Brabant;2015;Geiten;278
Vlaams-Brabant;2015;Kitsen;465
Vlaams-Brabant;2016;Bokken;361
Vlaams-Brabant;2016;Geiten;280
Vlaams-Brabant;2016;Kitsen;468
Vlaams-Brabant;2017;Bokken;366
Vlaams-Brabant;2017;Geiten;284
Vlaams-Brabant;2017;Kitsen;469
Vlaams-Brabant;2018;Bokken;390
Vlaams-Brabant;2018;Geiten;308
Vlaams-Brabant;2018;Kitsen;520
Vlaams-Brabant;2019;Bokken;404
Vlaams-Brabant;2019;Geiten;319
Vlaams-Brabant;2019;Kitsen;530
Vlaams-Brabant;2020;Bokken;414
Vlaams-Brabant;2020;Geiten;325
Vlaams-Brabant;2020;Kitsen;552
Vlaams-Brabant;2021;Bokken;414
Vlaams-Brabant;2021;Geiten;319
Vlaams-Brabant;2021;Kitsen;552
Vlaams-Brabant;2022;Bokken;420
Vlaams-Brabant;2022;Geiten;324
Vlaams-Brabant;2022;Kitsen;559
West-Vlaanderen;2002;Bokken;2
West-Vlaanderen;2004;Bokken;2
West-Vlaanderen;2004;Geiten;2
West-Vlaanderen;2004;Kitsen;4
West-Vlaanderen;2005;Bokken;6
West-Vlaanderen;2005;Geiten;5
West-Vlaanderen;2005;Kitsen;6
West-Vlaanderen;2006;Bokken;8
West-Vlaanderen;2006;Geiten;7
West-Vlaanderen;2006;Kitsen;9
West-Vlaanderen;2007;Bokken;13
West-Vlaanderen;2007;Geiten;15
West-Vlaanderen;2007;Kitsen;18
West-Vlaanderen;2008;Bokken;13
West-Vlaanderen;2008;Geiten;9
West-Vlaanderen;2008;Kitsen;15
West-Vlaanderen;2009;Bokken;20
West-Vlaanderen;2009;Geiten;10
West-Vlaanderen;2009;Kitsen;21
West-Vlaanderen;2010;Bokken;18
West-Vlaanderen;2010;Geiten;15
West-Vlaanderen;2010;Kitsen;24
West-Vlaanderen;2011;Bokken;32
West-Vlaanderen;2011;Geiten;22
West-Vlaanderen;2011;Kitsen;44
West-Vlaanderen;2012;Bokken;35
West-Vlaanderen;2012;Geiten;24
West-Vlaanderen;2012;Kitsen;62
West-Vlaanderen;2013;Bokken;59
West-Vlaanderen;2013;Geiten;37
West-Vlaanderen;2013;Kitsen;79
West-Vlaanderen;2014;Bokken;63
West-Vlaanderen;2014;Geiten;41
West-Vlaanderen;2014;Kitsen;89
West-Vlaanderen;2015;Bokken;63
West-Vlaanderen;2015;Geiten;45
West-Vlaanderen;2015;Kitsen;87
West-Vlaanderen;2016;Bokken;69
West-Vlaanderen;2016;Geiten;48
West-Vlaanderen;2016;Kitsen;89
West-Vlaanderen;2017;Bokken;82
West-Vlaanderen;2017;Geiten;49
West-Vlaanderen;2017;Kitsen;96
West-Vlaanderen;2018;Bokken;87
West-Vlaanderen;2018;Geiten;62
West-Vlaanderen;2018;Kitsen;116
West-Vlaanderen;2019;Bokken;85
West-Vlaanderen;2019;Geiten;71
West-Vlaanderen;2019;Kitsen;138
West-Vlaanderen;2020;Bokken;100
West-Vlaanderen;2020;Geiten;87
West-Vlaanderen;2020;Kitsen;165
West-Vlaanderen;2021;Bokken;107
West-Vlaanderen;2021;Geiten;87
West-Vlaanderen;2021;Kitsen;177
West-Vlaanderen;2022;Bokken;121
West-Vlaanderen;2022;Geiten;95
West-Vlaanderen;2022;Kitsen;192
