"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
1;"Ree";2016;"2016-03-12";"Antwerpen";"Vrouwelijk";"Kits";14,3;FALSE;0;140;140;"afschot";10;141;"Kits"
2;"Ree";2017;"2017-01-15";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17,5;FALSE;2;150;NA;"afschot";NA;NA;"Niet ingezameld"
3;"Ree";2017;"2017-02-02";"Antwerpen";"Mannelijk";"Kits";11;TRUE;NA;127;NA;"afschot";NA;NA;"Niet ingezameld"
4;"Ree";2015;"2015-06-12";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;161;161;"afschot";13;152;"Jongvolwassen"
5;"Ree";2014;"2014-07-27";"Limburg";"Mannelijk";"Jongvolwassen";14;TRUE;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
6;"Ree";2016;"2016-03-21";"Limburg";"Mannelijk";"Kits";10;TRUE;NA;NA;NA;"afschot";11;140;"Kits"
7;"Ree";2017;"2017-02-22";"Limburg";"Vrouwelijk";"Volwassen";13;FALSE;3;163;NA;"afschot";NA;NA;"Niet ingezameld"
8;"Ree";2015;"2015-03-07";"Limburg";"Vrouwelijk";"Kits";12;FALSE;0;155;155;"afschot";NA;NA;"Niet ingezameld"
9;"Ree";2015;"2015-05-16";"Limburg";"Mannelijk";"Jongvolwassen";14,5;NA;NA;149;149;"afschot";NA;NA;"Niet ingezameld"
10;"Ree";2016;"2016-03-31";"Limburg";"Vrouwelijk";"Volwassen";15;FALSE;2;155;155;"afschot";34;152;"Adult"
11;"Ree";2014;"2014-02-28";"Oost-Vlaanderen";"Mannelijk";"Kits";12,5;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
12;"Ree";2017;"2017-01-27";"Limburg";"Vrouwelijk";"Kits";16,9;FALSE;0;149;NA;"afschot";NA;NA;"Niet ingezameld"
13;"Ree";2016;"2016-02-05";"Limburg";"Vrouwelijk";"Jongvolwassen";17,5;FALSE;2;160;160;"afschot";19;159;"Jongvolwassen"
14;"Ree";2014;"2014-03-02";"Antwerpen";"Vrouwelijk";"Kits";11,5;FALSE;NA;146;146;"afschot";NA;NA;"Niet ingezameld"
15;"Ree";2016;"2016-03-22";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";15,5;FALSE;2;157;157;"afschot";100;NA;"Adult"
16;"Ree";2017;"2017-02-19";"Vlaams-Brabant";"Mannelijk";"Kits";12;TRUE;NA;140;NA;"afschot";NA;NA;"Niet ingezameld"
17;"Ree";2014;"2014-03-08";"Limburg";"Vrouwelijk";"Kits";12;FALSE;NA;120;120;"afschot";NA;NA;"Niet ingezameld"
18;"Ree";2016;"2016-02-08";"Oost-Vlaanderen";"Mannelijk";"Kits";8,8;TRUE;NA;118;118;"afschot";9;120;"Kits"
19;"Wild zwijn";2016;"2016-01-29";"West-Vlaanderen";"Vrouwelijk";"Frisling";39,2;FALSE;NA;NA;NA;"afschot";9;NA;"Frisling"
20;"Wild zwijn";2013;"2013-10-12";"Voeren";"Vrouwelijk";"Overloper";34;NA;NA;NA;NA;"afschot";17;NA;"Adult"
21;"Ree";2016;"2016-03-18";"Limburg";"Vrouwelijk";"Volwassen";16,5;FALSE;2;NA;NA;"afschot";NA;NA;"Niet ingezameld"
22;"Ree";2014;"2014-08-21";"Oost-Vlaanderen";"Mannelijk";"Volwassen";18,5;TRUE;NA;158;157;"afschot";NA;NA;"Niet ingezameld"
23;"Ree";2015;"2015-03-21";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;147;147;"afschot";NA;NA;"Niet ingezameld"
24;"Ree";2015;"2015-02-28";"Antwerpen";"Vrouwelijk";"Kits";13;FALSE;0;145;145;"afschot";NA;NA;"Niet ingezameld"
25;"Ree";2015;"2015-03-17";"Oost-Vlaanderen";"Mannelijk";"Kits";15;TRUE;NA;149;151;"afschot";19;154;"Jongvolwassen"
26;"Ree";2014;"2014-03-01";"Antwerpen";"Vrouwelijk";"Kits";14,2;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
27;"Wild zwijn";2012;"2012-06-21";"Limburg";"Mannelijk";"Frisling";16;NA;NA;NA;NA;"afschot";5;NA;"Overloper"
28;"Ree";2015;"2015-02-01";"Antwerpen";"Vrouwelijk";"Volwassen";14,5;FALSE;0;156;156;"afschot";NA;NA;"Niet ingezameld"
29;"Ree";2015;"2015-08-16";"Limburg";"Mannelijk";"Jongvolwassen";8,9;TRUE;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
30;"Ree";2015;"2015-05-05";"Limburg";"Mannelijk";"Volwassen";14;NA;NA;165;165;"afschot";72;NA;"Adult"
31;"Wild zwijn";2012;"2012-03-02";"Limburg";"Mannelijk";"Frisling";38;NA;NA;NA;NA;"afschot";11;NA;"Overloper"
32;"Ree";2014;"2014-01-05";"Antwerpen";"Mannelijk";"Kits";14;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
33;"Wild zwijn";2016;"2016-01-29";"West-Vlaanderen";"Vrouwelijk";"Frisling";35,3;FALSE;4;NA;NA;"afschot";8;NA;"Frisling"
34;"Wild zwijn";2015;"2015-01-29";"West-Vlaanderen";"Mannelijk";"Frisling";17;TRUE;NA;NA;NA;"afschot";5;NA;"Frisling"
35;"Ree";2015;"2015-03-19";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";13,2;FALSE;1;148;148;"afschot";NA;NA;"Niet ingezameld"
36;"Wild zwijn";2017;"2017-04-21";"Limburg";"Vrouwelijk";"Frisling";34;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
37;"Ree";2017;"2017-03-14";"Limburg";"Vrouwelijk";"Volwassen";19,8;FALSE;2;148;NA;"afschot";NA;NA;"Niet ingezameld"
38;"Ree";2014;"2014-08-10";"Limburg";"Mannelijk";NA;18,8;NA;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
39;"Ree";2014;"2014-09-04";"Antwerpen";"Mannelijk";"Volwassen";16,2;TRUE;NA;156;156;"afschot";NA;NA;"Niet ingezameld"
40;"Ree";2017;"2017-02-15";"Antwerpen";"Vrouwelijk";"Volwassen";15;FALSE;0;160;NA;"afschot";NA;NA;"Niet ingezameld"
41;"Ree";2014;"2014-08-12";"Limburg";"Mannelijk";"Volwassen";17,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
42;"Wild zwijn";2015;"2015-10-30";"Limburg";"Vrouwelijk";"Overloper";55;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
43;"Ree";2015;"2015-09-14";"Antwerpen";"Mannelijk";"Kits";8,2;TRUE;NA;114;NA;"afschot";NA;NA;"Niet ingezameld"
44;"Ree";2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";9;139;"Kits"
45;"Ree";2016;"2016-05-28";"Limburg";"Mannelijk";"Jongvolwassen";13;TRUE;NA;141;141;"afschot";NA;NA;"Niet ingezameld"
46;"Ree";2017;"2017-03-01";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;148;NA;"afschot";NA;NA;"Niet ingezameld"
47;"Wild zwijn";2017;"2017-03-10";"Limburg";"Mannelijk";"Overloper";46,3;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
48;"Ree";2016;"2016-03-10";"Antwerpen";"Vrouwelijk";"Kits";12,5;FALSE;0;149;148;"afschot";10;NA;"Kits"
49;"Wild zwijn";2017;"2017-05-01";"Limburg";"Vrouwelijk";"Overloper";39,9;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
50;"Ree";2014;"2014-02-01";"Antwerpen";"Vrouwelijk";"Kits";11;FALSE;0;145;145;"afschot";NA;NA;"Niet ingezameld"
51;"Ree";2015;"2015-03-09";"Limburg";"Vrouwelijk";"Kits";11,5;FALSE;0;130;130;"afschot";NA;NA;"Niet ingezameld"
52;"Ree";2015;"2015-05-15";"Limburg";"Mannelijk";"Volwassen";16,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
53;"Ree";2017;"2017-01-30";"Antwerpen";"Vrouwelijk";"Kits";8,8;FALSE;0;111;NA;"afschot";NA;NA;"Niet ingezameld"
