TAG,Area_m2,Area_ha,Area_km2,Area_hab_m2_bebouwd,Area_hab_m2_bos,Area_hab_m2_grasland,Area_hab_m2_landbouw,Area_hab_m2_water,Area_hab_m2_andere,Area_hab_ha_bebouwd,Area_hab_ha_bos,Area_hab_ha_grasland,Area_hab_ha_landbouw,Area_hab_ha_water,Area_hab_ha_andere,Area_hab_km2_bebouwd,Area_hab_km2_bos,Area_hab_km2_grasland,Area_hab_km2_landbouw,Area_hab_km2_water,Area_hab_km2_andere,perc_bos,perc_water,perc_landbouw,perc_grasland,perc_bebouwd,perc_andere,densiteit_bos,gem_opp_bos_m2,perimeter_bos_m,gem_opp_bos_ha,gem_opp_bos_km2
DS65B,4890059.998579479,489.0059998579479,4.890059998579479,212368.20727977116,1866818.961058982,0,1803714.0762524542,66340.1628911784,940818.5910970934,21.23682072797712,186.6818961058982,0,180.37140762524544,6.634016289117841,94.08185910970934,0.21236820727977115,1.8668189610589818,0,1.803714076252454,0.0663401628911784,0.9408185910970934,0.38175788468879257,0.0135663290246847,0.36885315860672835,0,0.04342854839029835,0.1923940792894961,4,466704.7402647455,13633.6307715986,46.67047402647455,0.46670474026474545
DS65D,533029.4170041278,53.30294170041278,0.5330294170041278,0,0,0,532992.7965614734,0,36.62044265435543,0,0,0,53.29927965614734,0,0.003662044265435543,0,0,0,0.5329927965614734,0,3.662044265435543e-5,0,0,0.9999312975203879,0,0,6.87024796120621e-5,NA,NA,NA,NA,NA
DS66D,1615584.709394134,161.5584709394134,1.615584709394134,60332.03027909012,144419.9764618643,0,0,1100119.5929608457,310713.109692334,6.033203027909012,14.441997646186431,0,0,110.01195929608457,31.071310969233405,0.060332030279090114,0.1444199764618643,0,0,1.1001195929608458,0.310713109692334,0.08939176981690036,0.6809420679485171,0,0,0.03734377400843032,0.19232238822615225,1,144419.9764618643,2384.09265002889,14.441997646186431,0.1444199764618643
DS72A,844456.2728187321,84.44562728187321,0.844456272818732,0,0,0,844387.3241630244,0,68.94865570764523,0,0,0,84.43873241630244,0,0.006894865570764523,0,0,0,0.8443873241630244,0,6.894865570764522e-5,0,0,0.9999183514198107,0,0,8.164858018935634e-5,NA,NA,NA,NA,NA
DS72B,3603525.201244613,360.3525201244613,3.603525201244613,0,0,0,3603244.175353743,0,281.0258908700198,0,0,0,360.3244175353743,0,0.02810258908700198,0,0,0,3.6032441753537428,0,2.810258908700198e-4,0,0,0.9999220136185608,0,0,7.798638143919652e-5,NA,NA,NA,NA,NA
DS73A,13135267.501991054,1313.5267501991054,13.135267501991054,49024.767030362964,0,272947.44168250874,12812378.981917627,0,916.3113605551844,4.902476703036297,0,27.29474416825088,1281.237898191763,0,0.09163113605551844,0.04902476703036296,0,0.27294744168250873,12.812378981917627,0,9.163113605551843e-4,0,0,0.975418199893951,0.02077973985997127,0.003732300619148544,6.975962692927945e-5,NA,NA,NA,NA,NA
DS73B,25017844.766273014,2501.7844766273015,25.01784476627301,1969956.0674738365,1302349.0253859558,1234036.2209193779,20509787.546446793,0,1715.9060470499098,196.99560674738368,130.23490253859558,123.40362209193779,2050.978754644679,0,0.171590604704991,1.9699560674738363,1.3023490253859558,1.2340362209193778,20.50978754644679,0,0.0017159060470499097,0.05205680335588599,0,0.819806331762694,0.049326240227655554,0.07874203736884514,6.858728491924901e-5,3,434116.3417953186,12126.8333093822,43.41163417953186,0.43411634179531855
DS73C,10256582.91897833,1025.6582918978331,10.25658291897833,490977.3366656087,0,0,9764902.450891515,0,703.1314212058205,49.09773366656087,0,0,976.4902450891516,0,0.07031314212058205,0.49097733666560867,0,0,9.764902450891515,0,7.031314212058205e-4,0,0,0.9520619613792591,0,0.047869484461255205,6.855415948568769e-5,NA,NA,NA,NA,NA
DS73D,25002697.76770611,2500.2697767706113,25.00269776770611,515372.445772021,455642.310646864,1102643.3514573683,22927289.793317594,0,1749.8665122625534,51.5372445772021,45.5642310646864,110.26433514573685,2292.7289793317595,0,0.17498665122625534,0.515372445772021,0.455642310646864,1.1026433514573684,22.927289793317595,0,0.0017498665122625534,0.01822372589070684,0,0.9169926384076382,0.044100975090838414,0.020612673502684354,6.998710813209562e-5,2,227821.155323432,5326.31669736181,22.7821155323432,0.227821155323432
DS74A,12543428.042320719,1254.342804232072,12.543428042320718,254258.27254972697,0,0,12288298.589403788,0,871.1803672043898,25.4258272549727,0,0,1228.8298589403787,0,0.08711803672043898,0.25425827254972694,0,0,12.288298589403787,0,8.711803672043898e-4,0,0,0.9796603088042486,0,0.020270238063460476,6.94531322908764e-5,NA,NA,NA,NA,NA
DS74B,25018437.882308334,2501.8437882308335,25.018437882308334,0,0,78090.09477958965,24938609.609374873,0,1738.178153871122,0,0,7.809009477958965,2493.8609609374876,0,0.17381781538711222,0,0,0.07809009477958964,24.938609609374872,0,0.001738178153871122,0,0,0.9968092223299876,0.003121301783386351,0,6.947588662600977e-5,NA,NA,NA,NA,NA
DS74C,10982990.591403482,1098.2990591403484,10.982990591403482,440594.0930391747,0,1694274.8492805767,8847380.25135986,0,741.3977238716325,44.05940930391747,0,169.42748492805765,884.7380251359859,0,0.07413977238716325,0.4405940930391747,0,1.6942748492805766,8.847380251359859,0,7.413977238716324e-4,0,0,0.8055529300266185,0.15426352551068429,0.04011604028724498,6.750417545216995e-5,NA,NA,NA,NA,NA
