"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
1;"Ree";8950;"HEUVELLAND";"West-Vlaanderen";2016
2;"Ree";3950;"BOCHOLT";"Limburg";2014
3;"Ree";3370;"Boutersem";"Vlaams-Brabant";2009
4;"Ree";2900;"Schoten";"Antwerpen";2010
5;"Wild zwijn";3582;NA;"Limburg";2010
6;"Ree";3540;"HERK-DE-STAD";"Limburg";2016
7;"Ree";3720;"KORTESSEM";"Limburg";2016
8;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2014
9;"Ree";3650;"Bilzen";"Limburg";2010
10;"Ree";3740;"Beeverst-Bilzen";"Limburg";2012
11;"Ree";2800;"Mechelen";"Antwerpen";2010
12;"Ree";3150;"Haacht";"Vlaams-Brabant";2004
13;"Ree";2880;"Bornem";"Antwerpen";2010
14;"Ree";3620;"Gellik";"Limburg";2013
15;"Ree";3690;"ZUTENDAAL";"Limburg";2016
16;"Ree";3960;"BREE";"Limburg";2014
17;"Ree";3910;"NEERPELT";"Limburg";2015
18;"Ree";3793;"Teuven";"Voeren";2007
19;"Ree";2980;"ZOERSEL";"Antwerpen";2018
20;"Ree";3300;"TIENEN";"Vlaams-Brabant";2018
21;"Ree";2900;"Schoten";"Antwerpen";2003
22;"Ree";2370;"Arendonk";"Antwerpen";2008
23;"Wild zwijn";3920;"LOMMEL";"Limburg";2017
24;"Ree";3370;"BOUTERSEM";"Vlaams-Brabant";2014
25;"Ree";2390;"Malle";"Antwerpen";2005
26;"Ree";3665;"As";"Limburg";2005
27;"Wild zwijn";NA;NA;"Limburg";2016
28;"Ree";2560;"NIJLEN";"Antwerpen";2014
29;"Ree";2380;"Bornem";"Antwerpen";2003
30;"Ree";3150;"HAACHT";"Vlaams-Brabant";2018
31;"Ree";2230;"Herselt";"Antwerpen";2002
32;"Ree";2370;"Arendonk";"Antwerpen";2010
33;"Wild zwijn";2400;"MOL";"Antwerpen";2017
34;"Ree";3670;"Ellekom";"Limburg";2007
35;"Ree";2450;"Meerhout";"Antwerpen";2007
36;"Ree";3620;"Gellik";"Limburg";2006
37;"Wild zwijn";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2017
38;"Ree";3130;"Begijnendijk";"Vlaams-Brabant";2007
39;"Ree";9180;"MOERBEKE";"Oost-Vlaanderen";2017
40;"Ree";3580;"Beringen";"Limburg";2012
41;"Ree";3930;"Achel";"Limburg";2013
42;"Ree";2275;"GIERLE";"Antwerpen";2007
43;"Ree";2450;"MEERHOUT";"Antwerpen";2017
44;"Ree";3680;"0poeteren";"Limburg";2004
45;"Ree";9140;"TEMSE";"Oost-Vlaanderen";2015
46;"Ree";2321;"Meer";"Antwerpen";2007
47;"Ree";9930;"ZOMERGEM";"Oost-Vlaanderen";2017
48;"Ree";2490;"Balen";"Antwerpen";2006
49;"Ree";3440;"Halle-Booienhoven";"Vlaams-Brabant";2012
50;"Ree";3070;"KORTENBERG";"Vlaams-Brabant";2015
51;"Ree";2328;"Heerle";"Antwerpen";2011
52;"Ree";NA;NA;"Limburg";2016
53;"Ree";2220;"HEIST-OP-DEN-BERG";"Antwerpen";2016
54;"Ree";2322;"Hoogstraten";"Antwerpen";2007
55;"Ree";8970;"POPERINGE";"West-Vlaanderen";2016
56;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
57;"Ree";3920;"Lommel";"Limburg";2003
58;"Ree";3720;"Kortesem";"Limburg";2006
59;"Wild zwijn";NA;NA;"Limburg";2016
60;"Ree";3650;"Bilzen";"Limburg";2003
61;"Ree";3210;"Lubbeek";"Vlaams-Brabant";2010
62;"Ree";2370;"Arendonk";"Antwerpen";2006
63;"Ree";3790;"Diepenbeek";"Voeren";2011
64;"Ree";3790;"Diepenbeek";"Voeren";2005
65;"Ree";NA;NA;"Limburg";2018
66;"Ree";2880;"Bornem";"Antwerpen";2007
67;"Ree";2980;"Hal";"Antwerpen";2013
68;"Ree";3050;"OUD-HEVERLEE";"Vlaams-Brabant";2014
69;"Ree";2970;"Schilde";"Antwerpen";2010
70;"Ree";2960;"Brecht";"Antwerpen";2012
71;"Ree";8790;"WAREGEM";"West-Vlaanderen";2016
72;"Ree";3440;"ZOUTLEEUW";"Vlaams-Brabant";2014
73;"Ree";2310;"RIJKEVORSEL";"Antwerpen";2018
74;"Ree";3920;"Lommel";"Limburg";2008
75;"Ree";2470;"RETIE";"Antwerpen";2018
76;"Ree";3650;"Bilzen";"Limburg";2010
77;"Ree";3690;"Bree";"Limburg";2011
78;"Ree";3990;"PEER";"Limburg";2017
79;"Ree";3670;"Ellekom";"Limburg";2011
80;"Wild zwijn";3580;"BERINGEN";"Limburg";2018
81;"Ree";2480;"Dessel";"Antwerpen";2013
82;"Ree";3640;"Gellik";"Limburg";2003
83;"Ree";3940;"Bilzen";"Limburg";2007
84;"Ree";2490;"BALEN";"Antwerpen";2015
85;"Ree";3800;"SINT-TRUIDEN";"Limburg";2016
86;"Ree";3040;"Huldenberg";"Vlaams-Brabant";2008
87;"Ree";1670;"Pepingen";"Vlaams-Brabant";2011
88;"Ree";3945;"Ham";"Limburg";2008
89;"Wild zwijn";3650;NA;"Limburg";2013
90;"Ree";2390;"Malle";"Antwerpen";2003
91;"Ree";3530;"Achel";"Limburg";2008
92;"Ree";3680;"0poeteren";"Limburg";2010
93;"Ree";2310;"Rijkevorsel";"Antwerpen";2004
94;"Ree";1790;"Affligem";"Vlaams-Brabant";2013
95;"Ree";3150;"Haacht";"Vlaams-Brabant";2009
96;"Ree";2230;"HERSELT";"Antwerpen";2018
97;"Ree";3800;"SINT-TRUIDEN";"Limburg";2017
98;"Ree";3945;"HAM";"Limburg";2018
99;"Ree";3582;"Beringen";"Limburg";2005
100;"Ree";3350;"Linter";"Vlaams-Brabant";2006
101;"Ree";2980;"Hal";"Antwerpen";2008
102;"Ree";2222;"Heist op den berg";"Antwerpen";2011
103;"Ree";3650;"Bilzen";"Limburg";2004
104;"Ree";2270;"HERENTHOUT";"Antwerpen";2009
105;"Ree";2430;"Eindhout";"Antwerpen";2012
106;"Ree";3700;"Herselt";"Limburg";2012
107;"Ree";3660;"Opglabbeek";"Limburg";2013
108;"Wild zwijn";3650;NA;"Limburg";2011
109;"Ree";2360;"Kessel";"Antwerpen";2006
110;"Ree";3790;"VOEREN";"Voeren";2019
111;"Ree";3270;"Scherpenheuvel-Zichem";"Vlaams-Brabant";2002
112;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2005
113;"Ree";3511;"Beringen";"Limburg";2013
114;"Ree";3512;"Kuringen";"Limburg";2011
115;"Ree";NA;NA;NA;2017
116;"Ree";2880;"BORNEM";"Antwerpen";2018
117;"Ree";9080;"LOCHRISTI";"Oost-Vlaanderen";2019
118;"Ree";3800;"Binderveld";"Limburg";2010
119;"Ree";2560;"NIJLEN";"Antwerpen";2018
120;"Ree";3370;"Boutersem";"Vlaams-Brabant";2006
121;"Ree";3040;"Huldenberg";"Vlaams-Brabant";2010
122;"Ree";3530;"Achel";"Limburg";2007
123;"Ree";2900;"Schoten";"Antwerpen";2008
124;"Ree";2470;"Retie";"Antwerpen";2009
125;"Ree";3620;"Gellik";"Limburg";2013
126;"Ree";3630;"Eisden";"Limburg";2008
127;"Wild zwijn";3792;NA;"Voeren";2013
128;"Ree";3740;"BILZEN";"Limburg";2015
129;"Ree";2900;"Schoten";"Antwerpen";2009
130;"Ree";2990;"WUUSTWEZEL";"Antwerpen";2014
131;"Ree";3720;"Kortesem";"Limburg";2008
132;"Ree";2910;"ESSEN";"Antwerpen";2018
133;"Ree";3940;"HECHTEL-EKSEL";"Limburg";2017
134;"Ree";3300;"Tienen";"Vlaams-Brabant";2011
135;"Ree";3440;"ZOUTLEEUW";"Vlaams-Brabant";2016
136;"Ree";3900;"Lommel";"Limburg";2006
137;"Ree";2460;"KASTERLEE";"Antwerpen";2014
138;"Ree";3650;"DILSEN-STOKKEM";"Limburg";2019
139;"Ree";3680;"MAASEIK";"Limburg";2018
140;"Ree";2430;"Eindhout";"Antwerpen";2013
141;"Ree";8970;"POPERINGE";"West-Vlaanderen";2018
142;"Ree";2980;"Hal";"Antwerpen";2009
143;"Ree";3950;"Bochelt";"Limburg";2012
144;"Wild zwijn";3690;"ZUTENDAAL";"Limburg";2017
145;"Ree";2380;"RAVELS";"Antwerpen";2018
146;"Ree";2480;"Dessel";"Antwerpen";2005
147;"Ree";3300;"Tienen";"Vlaams-Brabant";2010
148;"Ree";3590;"Diepenbeek";"Limburg";2008
149;"Ree";3620;"Gellik";"Limburg";2010
150;"Ree";3560;"LUMMEN";"Limburg";2018
151;"Ree";3550;"HEUSDEN-ZOLDER";"Limburg";2017
152;"Ree";2220;"Hallaar";"Antwerpen";2004
153;"Ree";2270;"HERENTHOUT";"Antwerpen";2014
154;"Ree";3550;"HEUSDEN-ZOLDER";"Limburg";2018
155;"Ree";2360;"Kessel";"Antwerpen";2005
156;"Ree";3790;"Diepenbeek";"Voeren";2011
157;"Ree";3583;"Beringen";"Limburg";2004
158;"Ree";2520;"Oelegem";"Antwerpen";2004
159;"Ree";3090;"Overijse";"Vlaams-Brabant";2009
160;"Ree";NA;NA;"Limburg";2018
161;"Ree";3940;"Bilzen";"Limburg";2003
162;"Ree";2880;"Bornem";"Antwerpen";2006
163;"Ree";3545;"Halen";"Limburg";2007
164;"Ree";3870;"Heers";"Limburg";2009
165;"Ree";3390;"Tielt-Winge";"Vlaams-Brabant";2007
166;"Ree";3680;"0poeteren";"Limburg";2006
167;"Ree";3290;"Deurne";"Vlaams-Brabant";2003
168;"Ree";9180;"MOERBEKE";"Oost-Vlaanderen";2014
169;"Ree";2990;"LOENHOUT";"Antwerpen";2009
170;"Wild zwijn";3790;"VOEREN";"Voeren";2018
171;"Ree";3670;"Ellekom";"Limburg";2004
172;"Ree";3582;"Beringen";"Limburg";2012
173;"Ree";3806;"Velm";"Limburg";2013
174;"Wild zwijn";2400;"MOL";"Antwerpen";2016
175;"Ree";3550;"Beringen";"Limburg";2006
176;"Ree";3960;"BREE";"Limburg";2017
177;"Ree";3680;"MAASEIK";"Limburg";2014
178;"Ree";3530;"Achel";"Limburg";2007
179;"Ree";3990;"PEER";"Limburg";2016
180;"Wild zwijn";3580;"BERINGEN";"Limburg";2018
181;"Ree";2450;"Meerhout";"Antwerpen";2011
182;"Ree";3650;"Bilzen";"Limburg";2008
183;"Ree";3590;"Diepenbeek";"Limburg";2013
184;"Ree";2910;"ESSEN";"Antwerpen";2016
185;"Ree";2235;"HULSHOUT";"Antwerpen";2016
186;"Ree";2960;"Brecht";"Antwerpen";2007
187;"Ree";2460;"KASTERLEE";"Antwerpen";2014
188;"Ree";2275;"LILLE";"Antwerpen";2015
189;"Ree";2990;"LOENHOUT";"Antwerpen";2012
190;"Ree";3730;"HOESELT";"Limburg";2015
191;"Wild zwijn";3640;"KINROOI";"Limburg";2018
192;"Ree";3300;"Tienen";"Vlaams-Brabant";2011
193;"Ree";2490;"Balen";"Antwerpen";2009
194;"Ree";3980;"Maaseik";"Limburg";2010
195;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2016
196;"Wild zwijn";3690;NA;"Limburg";2011
197;"Ree";3690;"Bree";"Limburg";2003
198;"Ree";3980;"Maaseik";"Limburg";2005
199;"Ree";3940;"Bilzen";"Limburg";2004
200;"Ree";3690;"ZUTENDAAL";"Limburg";2018
201;"Ree";3980;"Maaseik";"Limburg";2003
202;"Ree";3940;"Bilzen";"Limburg";2010
203;"Ree";3740;"Beeverst-Bilzen";"Limburg";2010
204;"Ree";2880;"BORNEM";"Antwerpen";2015
205;"Ree";2260;"WESTERLO";"Antwerpen";2015
206;"Ree";3300;"TIENEN";"Vlaams-Brabant";2016
207;"Ree";3020;"HERENT";"Vlaams-Brabant";2014
208;"Ree";2440;"GEEL";"Antwerpen";2010
209;"Ree";3270;"SCHERPENHEUVEL-ZICHEM";"Vlaams-Brabant";2015
210;"Ree";2560;"BEVEL";"Antwerpen";2007
211;"Ree";3545;"Halen";"Limburg";2010
212;"Wild zwijn";3970;"LEOPOLDSBURG";"Limburg";2015
213;"Ree";3550;"Beringen";"Limburg";2004
214;"Ree";3560;"Linkhout";"Limburg";2013
215;"Ree";3950;"BOCHOLT";"Limburg";2018
216;"Ree";3583;"Beringen";"Limburg";2011
217;"Ree";3560;"Linkhout";"Limburg";2011
218;"Ree";2320;"HOOGSTRATEN";"Antwerpen";2017
219;"Ree";2570;"DUFFEL";"Antwerpen";2017
220;"Ree";3290;"Deurne";"Vlaams-Brabant";2003
221;"Ree";3670;"Ellekom";"Limburg";2006
222;"Ree";NA;NA;"Vlaams-Brabant";2016
223;"Ree";3530;"Achel";"Limburg";2006
224;"Wild zwijn";3630;"MAASMECHELEN";"Limburg";2015
225;"Ree";3650;"Bilzen";"Limburg";2004
226;"Ree";3680;"MAASEIK";"Limburg";2016
227;"Ree";3650;"Bilzen";"Limburg";2003
228;"Ree";9400;"NINOVE";"Oost-Vlaanderen";2017
229;"Ree";2320;"HOOGSTRATEN";"Antwerpen";2016
230;"Ree";3150;"Haacht";"Vlaams-Brabant";2010
231;"Ree";3040;"HULDENBERG";"Vlaams-Brabant";2015
232;"Wild zwijn";3580;"BERINGEN";"Limburg";2017
233;"Wild zwijn";8490;NA;"West-Vlaanderen";2012
234;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2002
235;"Wild zwijn";3520;"ZONHOVEN";"Limburg";2018
236;"Ree";2230;"Herselt";"Antwerpen";2005
237;"Ree";3540;"Berbroek";"Limburg";2012
238;"Ree";3660;"Opglabbeek";"Limburg";2007
239;"Ree";3980;"Maaseik";"Limburg";2009
240;"Ree";3790;"VOEREN";"Voeren";2016
241;"Ree";3390;"TIELT-WINGE";"Vlaams-Brabant";2016
242;"Ree";3790;"Diepenbeek";"Voeren";2002
243;"Ree";2240;"GEEL";"Antwerpen";2003
244;"Ree";3660;"Opglabbeek";"Limburg";2005
245;"Ree";3060;"BERTEM";"Vlaams-Brabant";2015
246;"Ree";3680;"MAASEIK";"Limburg";2014
247;"Ree";3660;"Opglabbeek";"Limburg";2008
248;"Ree";2460;"KASTERLEE";"Antwerpen";2017
249;"Ree";2880;"Bornem";"Antwerpen";2010
250;"Wild zwijn";3660;"OPGLABBEEK";"Limburg";2018
251;"Ree";3930;"HAMONT-ACHEL";"Limburg";2017
252;"Ree";3545;"Halen";"Limburg";2003
253;"Ree";3390;"TIELT-WINGE";"Vlaams-Brabant";2018
254;"Ree";9080;"LOCHRISTI";"Oost-Vlaanderen";2015
255;"Ree";3920;"Lommel";"Limburg";2005
256;"Ree";3530;"Achel";"Limburg";2008
257;"Wild zwijn";3791;NA;"Voeren";2011
258;"Ree";2970;"SCHILDE";"Antwerpen";2014
259;"Ree";3640;"Gellik";"Limburg";2011
260;"Ree";3900;"OVERPELT";"Limburg";2018
261;"Ree";3590;"DIEPENBEEK";"Limburg";2018
262;"Ree";3210;"Lubbeek";"Vlaams-Brabant";2008
263;"Ree";2380;"RAVELS";"Antwerpen";2017
264;"Damhert";9910;NA;"Oost-Vlaanderen";2013
265;"Ree";2400;"GEEL";"Antwerpen";2005
266;"Ree";3680;"0poeteren";"Limburg";2007
267;"Ree";3581;"Beringen";"Limburg";2008
268;"Ree";2970;"Schilde";"Antwerpen";2002
269;"Ree";3271;"Averbode";"Vlaams-Brabant";2004
270;"Ree";2310;"RIJKEVORSEL";"Antwerpen";2014
271;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
272;"Ree";2242;"Massenhoven";"Antwerpen";2004
273;"Ree";3202;"";"Vlaams-Brabant";2004
274;"Ree";2440;"GEEL";"Antwerpen";2018
275;"Ree";3290;"DIEST";"Vlaams-Brabant";2014
276;"Wild zwijn";3090;NA;"Vlaams-Brabant";2013
277;"Wild zwijn";3930;NA;"Limburg";2012
278;"Ree";3520;"Geetbets";"Limburg";2005
279;"Ree";3680;"0poeteren";"Limburg";2008
280;"Ree";8902;"";"West-Vlaanderen";2011
281;"Ree";2323;"";"Antwerpen";2013
282;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2014
283;"Ree";2230;"Herselt";"Antwerpen";2010
284;"Ree";2370;"Arendonk";"Antwerpen";2011
285;"Ree";3806;"Velm";"Limburg";2010
286;"Ree";3740;"Beeverst-Bilzen";"Limburg";2006
287;"Ree";3945;"Ham";"Limburg";2012
288;"Ree";3640;"Gellik";"Limburg";2006
289;"Ree";3660;"Opglabbeek";"Limburg";2012
290;"Ree";3660;"OPGLABBEEK";"Limburg";2016
291;"Ree";3530;"Achel";"Limburg";2011
292;"Ree";3650;"Bilzen";"Limburg";2007
293;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2003
294;"Ree";2910;"Essen";"Antwerpen";2006
295;"Ree";3530;"Achel";"Limburg";2007
296;"Ree";2328;"Heerle";"Antwerpen";2002
297;"Ree";2490;"BALEN";"Antwerpen";2015
298;"Wild zwijn";3970;"LEOPOLDSBURG";"Limburg";2015
299;"Ree";3560;"Linkhout";"Limburg";2007
300;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2015
301;"Ree";2360;"OUD-TURNHOUT";"Antwerpen";2018
302;"Ree";3650;"Bilzen";"Limburg";2004
303;"Ree";3550;"Beringen";"Limburg";2009
304;"Wild zwijn";3960;"BREE";"Limburg";2015
305;"Wild zwijn";3580;"BERINGEN";"Limburg";2018
306;"Ree";3210;"Lubbeek";"Vlaams-Brabant";2011
307;"Ree";3840;"BORGLOON";"Limburg";2018
308;"Ree";3950;"Bochelt";"Limburg";2006
309;"Ree";3980;"Maaseik";"Limburg";2011
310;"Ree";2220;"Hallaar";"Antwerpen";2011
311;"Ree";3920;"Lommel";"Limburg";2004
312;"Ree";3130;"Begijnendijk";"Vlaams-Brabant";2006
313;"Ree";9500;"Geraardsbergen";"Oost-Vlaanderen";2010
314;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2006
315;"Ree";3582;"Beringen";"Limburg";2006
316;"Ree";9220;"HAMME";"Oost-Vlaanderen";2018
317;"Ree";2275;"GIERLE";"Antwerpen";2007
318;"Ree";2320;"Hoogstraten";"Antwerpen";2011
319;"Ree";3320;"Hoegaarden";"Vlaams-Brabant";2004
320;"Ree";9140;"TEMSE";"Oost-Vlaanderen";2018
321;"Wild zwijn";3640;"KINROOI";"Limburg";2018
322;"Ree";2490;"Balen";"Antwerpen";2005
323;"Ree";3550;"Beringen";"Limburg";2004
324;"Ree";3650;"Bilzen";"Limburg";2004
325;"Ree";2380;"RAVELS";"Antwerpen";2018
326;"Ree";2275;"GIERLE";"Antwerpen";2005
327;"Ree";3680;"MAASEIK";"Limburg";2017
328;"Ree";9300;"AALST";"Oost-Vlaanderen";2016
329;"Ree";3960;"Bree";"Limburg";2005
330;"Ree";2880;"BORNEM";"Antwerpen";2018
331;"Ree";2328;"Heerle";"Antwerpen";2008
332;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2009
333;"Ree";3680;"0poeteren";"Limburg";2013
334;"Ree";3560;"LUMMEN";"Limburg";2014
335;"Ree";2880;"Bornem";"Antwerpen";2007
336;"Ree";2880;"Bornem";"Antwerpen";2011
337;"Ree";3380;"Glabbeek";"Vlaams-Brabant";2006
338;"Ree";3920;"Lommel";"Limburg";2008
339;"Ree";3670;"Ellekom";"Limburg";2012
340;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2009
341;"Ree";3511;"Beringen";"Limburg";2010
342;"Ree";9910;"KNESSELARE";"Oost-Vlaanderen";2015
343;"Ree";9180;"MOERBEKE";"Oost-Vlaanderen";2019
344;"Ree";3910;"Bocholt";"Limburg";2006
345;"Ree";3790;"Diepenbeek";"Voeren";2010
346;"Ree";2490;"BALEN";"Antwerpen";2017
347;"Ree";3680;"0poeteren";"Limburg";2008
348;"Ree";3550;"Beringen";"Limburg";2009
349;"Ree";2390;"MALLE";"Antwerpen";2016
350;"Wild zwijn";3930;NA;"Limburg";2012
351;"Ree";3360;"BIERBEEK";"Vlaams-Brabant";2015
352;"Ree";3560;"Linkhout";"Limburg";2012
353;"Ree";3550;"HEUSDEN-ZOLDER";"Limburg";2017
354;"Ree";3450;"Bocholt";"Vlaams-Brabant";2008
355;"Ree";2400;"MOL";"Antwerpen";2014
356;"Ree";3660;"Opglabbeek";"Limburg";2008
357;"Ree";NA;NA;"Limburg";2017
358;"Ree";NA;NA;"Limburg";2014
359;"Wild zwijn";3940;NA;"Limburg";2013
360;"Ree";2370;"Arendonk";"Antwerpen";2004
361;"Wild zwijn";3630;"MAASMECHELEN";"Limburg";2015
362;"Ree";2480;"DESSEL";"Antwerpen";2016
363;"Wild zwijn";2370;"ARENDONK";"Antwerpen";2017
364;"Ree";2480;"Dessel";"Antwerpen";2005
365;"Ree";2990;"WUUSTWEZEL";"Antwerpen";2018
366;"Ree";3870;"Heers";"Limburg";2010
367;"Ree";2960;"Brecht";"Antwerpen";2004
368;"Ree";3600;"GENK";"Limburg";2017
369;"Ree";NA;NA;"Vlaams-Brabant";2016
370;"Ree";2460;"KASTERLEE";"Antwerpen";2016
371;"Ree";3545;"Halen";"Limburg";2013
372;"Wild zwijn";3950;"BOCHOLT";"Limburg";2017
373;"Ree";3202;"";"Vlaams-Brabant";2007
374;"Ree";3970;"Hoogbosch";"Limburg";2011
375;"Ree";2430;"LAAKDAL";"Antwerpen";2018
376;"Ree";3740;"BILZEN";"Limburg";2014
377;"Ree";2320;"HOOGSTRATEN";"Antwerpen";2015
378;"Ree";2880;"BORNEM";"Antwerpen";2016
379;"Ree";3545;"Halen";"Limburg";2008
380;"Ree";2980;"Hal";"Antwerpen";2004
381;"Wild zwijn";3970;"LEOPOLDSBURG";"Limburg";2014
382;"Ree";9160;"LOKEREN";"Oost-Vlaanderen";2014
383;"Wild zwijn";3670;"MEEUWEN-GRUITRODE";"Limburg";2017
384;"Ree";3950;"BOCHOLT";"Limburg";2014
385;"Ree";3510;"Hasselt";"Limburg";2009
386;"Ree";2260;"WESTERLO";"Antwerpen";2014
387;"Ree";3950;"Bochelt";"Limburg";2010
388;"Ree";2240;"ZANDHOVEN";"Antwerpen";2016
389;"Ree";2970;"SCHILDE";"Antwerpen";2015
390;"Ree";3700;"TONGEREN";"Limburg";2015
391;"Ree";3221;"";"Vlaams-Brabant";2007
392;"Ree";9290;"BERLARE";"Oost-Vlaanderen";2014
393;"Ree";2460;"Kasterlee";"Antwerpen";2010
394;"Ree";2990;"LOENHOUT";"Antwerpen";2013
395;"Ree";NA;NA;"Antwerpen";2016
396;"Ree";2275;"LILLE";"Antwerpen";2014
397;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2010
398;"Ree";2400;"MOL";"Antwerpen";2015
399;"Ree";2400;"MOL";"Antwerpen";2018
400;"Wild zwijn";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2018
401;"Ree";3201;"Aarschot";"Vlaams-Brabant";2005
402;"Ree";3581;"Beringen";"Limburg";2003
403;"Ree";3910;"Bocholt";"Limburg";2010
404;"Ree";2370;"Arendonk";"Antwerpen";2003
405;"Ree";3530;"Achel";"Limburg";2007
406;"Ree";3560;"Linkhout";"Limburg";2005
407;"Ree";3640;"Gellik";"Limburg";2005
408;"Ree";NA;NA;"Limburg";2018
409;"Ree";2970;"SCHILDE";"Antwerpen";2018
410;"Ree";3471;"";"Vlaams-Brabant";2010
411;"Ree";3580;"BERINGEN";"Limburg";2015
412;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
413;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2017
414;"Ree";3020;"HERENT";"Vlaams-Brabant";2016
415;"Ree";3670;"Ellekom";"Limburg";2003
416;"Ree";3800;"Binderveld";"Limburg";2011
417;"Ree";2310;"RIJKEVORSEL";"Antwerpen";2015
418;"Ree";2440;"GEEL";"Antwerpen";2016
419;"Ree";2400;"MOL";"Antwerpen";2015
420;"Ree";2382;"Poppel";"Antwerpen";2013
421;"Ree";3583;"Beringen";"Limburg";2002
422;"Ree";3910;"NEERPELT";"Limburg";2018
423;"Ree";3850;"NIEUWERKERKEN";"Limburg";2016
424;"Ree";8950;"HEUVELLAND";"West-Vlaanderen";2018
425;"Ree";3650;"DILSEN-STOKKEM";"Limburg";2014
426;"Ree";3690;"Bree";"Limburg";2013
427;"Ree";3290;"Deurne";"Vlaams-Brabant";2009
428;"Ree";2370;"Arendonk";"Antwerpen";2002
429;"Ree";2910;"Essen";"Antwerpen";2005
430;"Ree";3270;"Scherpenheuvel-Zichem";"Vlaams-Brabant";2004
431;"Ree";3270;"SCHERPENHEUVEL-ZICHEM";"Vlaams-Brabant";2016
432;"Ree";3960;"BREE";"Limburg";2015
433;"Ree";3920;"Lommel";"Limburg";2002
434;"Ree";2230;"HERSELT";"Antwerpen";2019
435;"Ree";3090;"Overijse";"Vlaams-Brabant";2011
436;"Ree";3390;"Tielt-Winge";"Vlaams-Brabant";2012
437;"Ree";2310;"RIJKEVORSEL";"Antwerpen";2015
438;"Ree";2400;"GEEL";"Antwerpen";2003
439;"Damhert";3500;"HASSELT";"Limburg";2017
440;"Ree";3320;"Hoegaarden";"Vlaams-Brabant";2011
441;"Ree";2520;"Oelegem";"Antwerpen";2010
442;"Ree";1730;"ASSE";"Vlaams-Brabant";2017
443;"Ree";2220;"HEIST-OP-DEN-BERG";"Antwerpen";2016
444;"Ree";2382;"Poppel";"Antwerpen";2002
445;"Ree";3583;"Beringen";"Limburg";2009
446;"Ree";3790;"Diepenbeek";"Voeren";2010
447;"Wild zwijn";3582;NA;"Limburg";2013
448;"Ree";2960;"Brecht";"Antwerpen";2010
449;"Ree";3665;"As";"Limburg";2012
450;"Wild zwijn";3640;"KINROOI";"Limburg";2017
451;"Ree";3200;"AARSCHOT";"Vlaams-Brabant";2017
452;"Wild zwijn";3790;"VOEREN";"Voeren";2014
453;"Ree";2380;"RAVELS";"Antwerpen";2016
454;"Ree";8970;"POPERINGE";"West-Vlaanderen";2014
455;"Ree";3390;"TIELT-WINGE";"Vlaams-Brabant";2015
456;"Ree";3511;"Beringen";"Limburg";2008
457;"Ree";NA;NA;"Limburg";2014
458;"Ree";3210;"Lubbeek";"Vlaams-Brabant";2013
459;"Ree";3500;"HASSELT";"Limburg";2015
460;"Ree";2980;"Hal";"Antwerpen";2002
461;"Ree";3670;"Ellekom";"Limburg";2010
462;"Edelhert";8490;"JABBEKE";"West-Vlaanderen";2017
463;"Ree";3540;"Berbroek";"Limburg";2011
464;"Ree";3930;"Achel";"Limburg";2011
465;"Ree";2400;"GEEL";"Antwerpen";2009
466;"Wild zwijn";3582;NA;"Limburg";2012
467;"Ree";3740;"Beeverst-Bilzen";"Limburg";2009
468;"Ree";3560;"Linkhout";"Limburg";2004
469;"Ree";3500;"Hasselt";"Limburg";2013
470;"Ree";3920;"LOMMEL";"Limburg";2015
471;"Ree";3530;"Achel";"Limburg";2004
472;"Ree";3550;"Beringen";"Limburg";2009
473;"Ree";3530;"Achel";"Limburg";2011
474;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2016
475;"Ree";2950;"Berlaar";"Antwerpen";2012
476;"Ree";3650;"DILSEN-STOKKEM";"Limburg";2016
477;"Ree";3940;"Bilzen";"Limburg";2010
478;"Wild zwijn";3620;"LANAKEN";"Limburg";2014
479;"Ree";3700;"Herselt";"Limburg";2013
480;"Wild zwijn";3970;"LEOPOLDSBURG";"Limburg";2017
481;"Ree";3945;"HAM";"Limburg";2018
482;"Ree";3690;"Bree";"Limburg";2002
483;"Ree";2380;"Bornem";"Antwerpen";2002
484;"Ree";3640;"Gellik";"Limburg";2008
485;"Ree";3150;"Haacht";"Vlaams-Brabant";2007
486;"Ree";3511;"Beringen";"Limburg";2008
