"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
23167;"Ree";2910;"Essen";"Antwerpen";2011
23168;"Ree";3920;"LOMMEL";"Limburg";2018
23169;"Ree";3790;"Diepenbeek";"Voeren";2003
23170;"Ree";3220;"Holsbeek";"Vlaams-Brabant";2011
23171;"Ree";3300;"TIENEN";"Vlaams-Brabant";2017
23172;"Ree";3520;"ZONHOVEN";"Limburg";2017
23173;"Wild zwijn";3990;"PEER";"Limburg";2018
23174;"Ree";3720;"Kortesem";"Limburg";2010
23175;"Ree";2382;"Poppel";"Antwerpen";2004
23176;"Wild zwijn";3670;"MEEUWEN-GRUITRODE";"Limburg";2017
23177;"Ree";2880;"Bornem";"Antwerpen";2009
23178;"Ree";3670;"Ellekom";"Limburg";2007
23179;"Ree";3054;"Oud-Heverlee";"Vlaams-Brabant";2010
23180;"Ree";2400;"MOL";"Antwerpen";2016
23181;"Ree";3650;"Bilzen";"Limburg";2010
23182;"Ree";3500;"Hasselt";"Limburg";2010
23183;"Ree";2230;"Herselt";"Antwerpen";2002
23184;"Ree";3080;"TERVUREN";"Vlaams-Brabant";2015
23185;"Ree";3960;"Bree";"Limburg";2008
23186;"Ree";9180;"Moerbeke";"Oost-Vlaanderen";2010
23187;"Ree";3920;"Lommel";"Limburg";2012
23188;"Ree";2380;"Bornem";"Antwerpen";2012
23189;"Ree";3945;"Ham";"Limburg";2003
23190;"Ree";2470;"Retie";"Antwerpen";2003
23191;"Ree";1540;"Herne";"Vlaams-Brabant";2012
23192;"Ree";2360;"Kessel";"Antwerpen";2004
23193;"Ree";2275;"GIERLE";"Antwerpen";2008
23194;"Ree";2430;"Eindhout";"Antwerpen";2011
23195;"Ree";2491;"Balen";"Antwerpen";2008
23196;"Ree";3930;"Achel";"Limburg";2010
23197;"Wild zwijn";3740;"BILZEN";"Limburg";2017
23198;"Ree";2970;"Schilde";"Antwerpen";2002
23199;"Ree";3620;"LANAKEN";"Limburg";2018
23200;"Ree";8900;"IEPER";"West-Vlaanderen";2018
23201;"Ree";3740;"Beeverst-Bilzen";"Limburg";2009
23202;"Ree";3118;"";"Vlaams-Brabant";2012
23203;"Ree";2980;"Hal";"Antwerpen";2008
23204;"Ree";3620;"LANAKEN";"Limburg";2016
23205;"Ree";3530;"Achel";"Limburg";2004
23206;"Ree";3530;"Achel";"Limburg";2005
23207;"Ree";3740;"Beeverst-Bilzen";"Limburg";2007
23208;"Wild zwijn";3670;"MEEUWEN-GRUITRODE";"Limburg";2016
23209;"Ree";2275;"GIERLE";"Antwerpen";2009
23210;"Ree";3910;"NEERPELT";"Limburg";2017
23211;"Ree";2390;"MALLE";"Antwerpen";2014
23212;"Ree";3920;"LOMMEL";"Limburg";2017
23213;"Ree";3550;"HEUSDEN-ZOLDER";"Limburg";2017
23214;"Ree";3940;"HECHTEL-EKSEL";"Limburg";2017
23215;"Ree";3320;"HOEGAARDEN";"Vlaams-Brabant";2016
23216;"Ree";3940;"HECHTEL-EKSEL";"Limburg";2017
23217;"Ree";3680;"0poeteren";"Limburg";2008
23218;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2011
23219;"Ree";3670;"Ellekom";"Limburg";2012
23220;"Ree";3350;"Linter";"Vlaams-Brabant";2007
23221;"Ree";9300;"AALST";"Oost-Vlaanderen";2017
23222;"Ree";3660;"Opglabbeek";"Limburg";2007
23223;"Ree";3900;"Lommel";"Limburg";2008
23224;"Ree";2380;"RAVELS";"Antwerpen";2014
23225;"Wild zwijn";8210;"ZEDELGEM";"West-Vlaanderen";2015
23226;"Ree";3790;"Diepenbeek";"Voeren";2006
23227;"Ree";3290;"Deurne";"Vlaams-Brabant";2008
23228;"Ree";9160;"Lokeren";"Oost-Vlaanderen";2013
23229;"Ree";2381;"RAVELS";"Antwerpen";2011
23230;"Ree";2380;"Bornem";"Antwerpen";2003
23231;"Ree";3670;"Ellekom";"Limburg";2005
23232;"Ree";3530;"Achel";"Limburg";2006
23233;"Ree";2460;"Kasterlee";"Antwerpen";2005
23234;"Ree";3970;"LEOPOLDSBURG";"Limburg";2016
23235;"Ree";NA;NA;"Limburg";2014
23236;"Ree";2990;"LOENHOUT";"Antwerpen";2008
23237;"Ree";2330;"BORNEM";"Antwerpen";2008
23238;"Ree";3680;"MAASEIK";"Limburg";2018
23239;"Ree";3660;"Opglabbeek";"Limburg";2004
23240;"Ree";9100;"SINT-NIKLAAS";"Oost-Vlaanderen";2015
23241;"Ree";3590;"Diepenbeek";"Limburg";2007
23242;"Ree";3790;"VOEREN";"Voeren";2017
23243;"Ree";3910;"NEERPELT";"Limburg";2015
23244;"Ree";2322;"Hoogstraten";"Antwerpen";2010
23245;"Ree";3560;"Linkhout";"Limburg";2005
23246;"Ree";3470;"Kortenaken";"Vlaams-Brabant";2011
23247;"Ree";3640;"Gellik";"Limburg";2006
23248;"Ree";2920;"ESSEN";"Antwerpen";2010
23249;"Ree";3370;"Boutersem";"Vlaams-Brabant";2008
23250;"Ree";2880;"Bornem";"Antwerpen";2010
23251;"Ree";3271;"Averbode";"Vlaams-Brabant";2003
23252;"Ree";2980;"Hal";"Antwerpen";2003
23253;"Wild zwijn";3790;"VOEREN";"Voeren";2016
23254;"Ree";2440;"GEEL";"Antwerpen";2012
23255;"Ree";2990;"WUUSTWEZEL";"Antwerpen";2017
23256;"Ree";8480;"Ichtegem";"West-Vlaanderen";2012
23257;"Ree";2370;"Arendonk";"Antwerpen";2002
23258;"Ree";2360;"OUD-TURNHOUT";"Antwerpen";2017
23259;"Ree";9280;"LEBBEKE";"Oost-Vlaanderen";2014
23260;"Ree";3540;"Berbroek";"Limburg";2007
23261;"Ree";3940;"Bilzen";"Limburg";2013
23262;"Ree";2950;"Berlaar";"Antwerpen";2013
23263;"Ree";2400;"GEEL";"Antwerpen";2010
23264;"Ree";2950;"Berlaar";"Antwerpen";2013
23265;"Ree";3520;"Geetbets";"Limburg";2010
23266;"Ree";3202;"";"Vlaams-Brabant";2002
23267;"Ree";1000;"";"";2009
23268;"Ree";3720;"KORTESSEM";"Limburg";2016
23269;"Ree";2310;"Rijkevorsel";"Antwerpen";2005
23270;"Ree";3130;"BEGIJNENDIJK";"Vlaams-Brabant";2015
23271;"Ree";3582;"Beringen";"Limburg";2007
23272;"Ree";3560;"Linkhout";"Limburg";2009
23273;"Ree";3650;"Bilzen";"Limburg";2011
23274;"Ree";3150;"Haacht";"Vlaams-Brabant";2005
23275;"Wild zwijn";3970;"LEOPOLDSBURG";"Limburg";2017
23276;"Ree";3580;"Beringen";"Limburg";2008
23277;"Ree";3050;"";"Vlaams-Brabant";2008
23278;"Ree";3720;"Kortesem";"Limburg";2012
23279;"Ree";3360;"BIERBEEK";"Vlaams-Brabant";2017
23280;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
23281;"Ree";9080;"LOCHRISTI";"Oost-Vlaanderen";2017
23282;"Ree";2200;"HERENTALS";"Antwerpen";2017
23283;"Ree";2490;"Balen";"Antwerpen";2002
23284;"Wild zwijn";3040;"HULDENBERG";"Vlaams-Brabant";2018
23285;"Ree";2300;"OUD-TURNHOUT";"Antwerpen";2006
23286;"Ree";2430;"Eindhout";"Antwerpen";2004
23287;"Wild zwijn";3690;NA;"Limburg";2013
23288;"Ree";3360;"Bierbeek";"Vlaams-Brabant";2002
23289;"Ree";2320;"HOOGSTRATEN";"Antwerpen";2016
23290;"Ree";2460;"KASTERLEE";"Antwerpen";2015
23291;"Ree";3360;"BIERBEEK";"Vlaams-Brabant";2015
23292;"Ree";2390;"Malle";"Antwerpen";2007
23293;"Ree";3740;"Beeverst-Bilzen";"Limburg";2010
23294;"Ree";3940;"Bilzen";"Limburg";2011
23295;"Ree";2910;"Essen";"Antwerpen";2010
23296;"Wild zwijn";3990;"PEER";"Limburg";2014
23297;"Ree";9100;"SINT-NIKLAAS";"Oost-Vlaanderen";2018
23298;"Ree";2300;"OUD-TURNHOUT";"Antwerpen";2009
23299;"Ree";2920;"ESSEN";"Antwerpen";2008
23300;"Ree";3050;"";"Vlaams-Brabant";2010
23301;"Ree";2380;"Bornem";"Antwerpen";2013
23302;"Ree";2382;"Poppel";"Antwerpen";2013
23303;"Ree";3620;"Gellik";"Limburg";2013
23304;"Ree";3830;"WELLEN";"Limburg";2017
23305;"Ree";2480;"DESSEL";"Antwerpen";2016
23306;"Ree";3350;"LINTER";"Vlaams-Brabant";2017
23307;"Ree";2950;"Berlaar";"Antwerpen";2011
23308;"Ree";NA;NA;"Limburg";2014
23309;"Ree";2930;"Brasschaat";"Antwerpen";2009
23310;"Ree";2910;"Essen";"Antwerpen";2003
23311;"Wild zwijn";3582;NA;"Limburg";2011
23312;"Ree";2910;"Essen";"Antwerpen";2007
23313;"Ree";NA;NA;"Antwerpen";2015
