"id","afschotjaar","gemeente_afschot_locatie","UTM5","aantal"
155520226,2018,"Huldenberg","FS12A",3
150710349,2018,"Huldenberg","FS12A",1
155462190,2018,"Huldenberg","FS12B",11
72708197,2012,"Huldenberg","FS12B",1
74540202,2013,"Huldenberg","FS12B",1
155673536,2018,"Huldenberg","FS12B",1
155673569,2018,"Huldenberg","FS12B",12
155825809,2018,"Huldenberg","FS12B",1
156592874,2018,"Huldenberg","FS12B",1
161359149,2018,"Huldenberg","FS12B",17
161540540,2018,"Huldenberg","FS12B",17
161980204,2018,"Huldenberg","FS12B",1
113993500,2015,"Huldenberg","FS13D",5
119394669,2016,"Huldenberg","FS13D",1
119613540,2016,"Huldenberg","FS13D",1
46592463,2010,"Tongeren","FS73C",1
113145833,2015,"Oud-Heverlee","FS12B",1
113994792,2016,"Oud-Heverlee","FS12B",1
120511633,2016,"Oud-Heverlee","FS12B",6
143731555,2017,"Oud-Heverlee","FS12B",1
149965354,2018,"Oud-Heverlee","FS12B",13
149965354,2018,"Oud-Heverlee","FS12B",2
154733094,2018,"Oud-Heverlee","FS12B",3
154733094,2018,"Oud-Heverlee","FS12B",9
157064745,2018,"Oud-Heverlee","FS12B",1
157617858,2018,"Oud-Heverlee","FS12B",1
158489128,2018,"Oud-Heverlee","FS12B",1
159806400,2018,"Oud-Heverlee","FS12B",1
160055268,2018,"Oud-Heverlee","FS12B",1
160366540,2018,"Oud-Heverlee","FS12B",1
160366298,2018,"Oud-Heverlee","FS12B",1
161290042,2018,"Oud-Heverlee","FS12B",1
161290065,2018,"Oud-Heverlee","FS12B",1
161290052,2018,"Oud-Heverlee","FS12B",9
161290072,2018,"Oud-Heverlee","FS12B",1
161290072,2018,"Oud-Heverlee","FS12B",1
161290086,2018,"Oud-Heverlee","FS12B",13
161290086,2018,"Oud-Heverlee","FS12B",2
161290102,2018,"Oud-Heverlee","FS12B",1
161290059,2018,"Oud-Heverlee","FS12B",1
161740126,2018,"Oud-Heverlee","FS12B",1
161740213,2018,"Oud-Heverlee","FS12B",1
161740136,2018,"Oud-Heverlee","FS12B",1
161740218,2018,"Oud-Heverlee","FS12B",1
161740222,2018,"Oud-Heverlee","FS12B",1
161740251,2018,"Oud-Heverlee","FS12B",1
161740261,2018,"Oud-Heverlee","FS12B",10
161740261,2018,"Oud-Heverlee","FS12B",1
162257855,2018,"Oud-Heverlee","FS12B",1
162590560,2018,"Oud-Heverlee","FS12B",1
162590560,2018,"Oud-Heverlee","FS12B",1
162590755,2018,"Oud-Heverlee","FS12B",2
162590755,2018,"Oud-Heverlee","FS12B",1
162590743,2018,"Oud-Heverlee","FS12B",1
162590743,2018,"Oud-Heverlee","FS12B",7
162749458,2018,"Oud-Heverlee","FS12B",1
