checklist_scientificName	english_name	entry_into_force	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Procyon lotor	Raccoon	2016-08-03	Animalia	5218786	ACCEPTED
Pseudorasbora parva	Stone moroko	2016-08-03	Animalia	2362868	ACCEPTED
Sciurus carolinensis	Grey squirrel	2016-08-03	Animalia	5219681	ACCEPTED
Sciurus niger	Fox squirrel	2016-08-03	Animalia	5219683	ACCEPTED
Tamias sibiricus	Siberian chipmunk	2016-08-03	Animalia	2437450	ACCEPTED
Threskiornis aethiopicus	Sacred ibis	2016-08-03	Animalia	2480764	ACCEPTED
Trachemys scripta	Red-eared, yellow-bellied and Cumberland sliders	2016-08-03	Animalia	2443002	ACCEPTED
Vespa velutina nigrithorax	Asian hornet	2016-08-03	Animalia	6247411	ACCEPTED
Humulus scandens	Japanese hop	2019-08-15	Plantae	2984537	SYNONYM
Acridotheres tristis	Common myna	2019-08-15	Animalia	2489005	ACCEPTED
Ailanthus altissima	Tree of heaven	2019-08-15	Plantae	3190653	ACCEPTED
Andropogon virginicus	Broomsedge bluestem	2019-08-15	Plantae	2706080	ACCEPTED
Arthurdendyus triangulatus	New Zealand flatworm	2019-08-15	Animalia	2502792	ACCEPTED
Cardiospermum grandiflorum	Balloon vine	2019-08-15	Plantae	9685025	DOUBTFUL
Cortaderia jubata	Purple pampas grass	2019-08-15	Plantae	2704521	ACCEPTED
Acacia saligna	Coojong	2019-08-15	Plantae	8790482	DOUBTFUL
Gymnocoronis spilanthoides	Spadeleaf plant	2019-08-15	Plantae	6063677	ACCEPTED
Triadica sebifera	Chinese tallow	2019-08-15	Plantae	3054399	ACCEPTED
Lepomis gibbosus	pumpkinseed	2019-08-15	Animalia	2394486	ACCEPTED
Lespedeza cuneata	Chinese bushclover	2019-08-15	Plantae	8114276	SYNONYM
Lygodium japonicum	Japanese climbing fern	2019-08-15	Plantae	2650436	ACCEPTED
Plotosus lineatus	Striped eel catfish	2019-08-15	Animalia	7965247	ACCEPTED
Prosopis juliflora	Mesquite	2019-08-15	Plantae	5358460	ACCEPTED
Salvinia molesta	Giant salvinia	2019-08-15	Plantae	5274863	ACCEPTED
Ehrharta calycina	Perennial veldtgrass	2019-08-15	Plantae	7644403	SYNONYM
