Code_def,Area_m2,Area_ha,Area_km2,Area_hab_m2_bebouwd,Area_hab_m2_bos,Area_hab_m2_grasland,Area_hab_m2_landbouw,Area_hab_m2_water,Area_hab_m2_andere,Area_hab_ha_bebouwd,Area_hab_ha_bos,Area_hab_ha_grasland,Area_hab_ha_landbouw,Area_hab_ha_water,Area_hab_ha_andere,Area_hab_km2_bebouwd,Area_hab_km2_bos,Area_hab_km2_grasland,Area_hab_km2_landbouw,Area_hab_km2_water,Area_hab_km2_andere,perc_bos,perc_water,perc_landbouw,perc_grasland,perc_bebouwd,perc_andere,densiteit_bos,gem_opp_bos_m2,perimeter_bos_m,gem_opp_bos_ha,gem_opp_bos_km2
1,2180876729.2343574,218087.67292343575,2180.8767292343573,383870360.27106065,41660438.542727746,211461908.58920565,1510789650.212478,25554013.041803434,7540358.5770820975,38387.03602710606,4166.043854272774,21146.190858920567,151078.9650212478,2555.4013041803437,754.0358577082097,383.8703602710606,41.660438542727746,211.46190858920565,1510.789650212478,25.554013041803433,7.540358577082097,0.019102610424640332,0.01171731198708086,0.6927441748359947,0.09696188040093573,0.17601653276653853,0.003457489584809912,66,631218.7657989053,312623.3942947,63.12187657989053,0.6312187657989052
10,50695844.92948234,5069.584492948235,50.69584492948234,6655294.227535565,8830597.522926806,10636547.1033999,24572826.2894874,579.3186286839122,0.4675039844587445,665.5294227535566,883.0597522926807,1063.65471033999,2457.28262894874,0.05793186286839122,4.675039844587446e-5,6.655294227535565,8.830597522926805,10.6365471033999,24.5728262894874,5.793186286839121e-4,4.675039844587445e-7,0.17418779655828048,1.1427339449411316e-5,0.48471085398947533,0.20981102333327875,0.1312788895577743,9.221741645869403e-9,10,883059.7522926807,59336.8488173993,88.30597522926807,0.8830597522926806
2,1593236140.0172904,159323.61400172903,1593.2361400172904,346644156.9772364,54443055.687249325,175339230.5479494,993259595.2655398,21223040.797879763,2327060.741435647,34664.41569772364,5444.3055687249325,17533.92305479494,99325.95952655398,2122.3040797879767,232.7060741435647,346.6441569772364,54.44305568724932,175.3392305479494,993.2595952655397,21.22304079787976,2.327060741435647,0.034171366265052516,0.01332071264567815,0.6234227119997169,0.11005225537128888,0.21757236624915782,0.0014605874691057366,72,756153.5512117962,365118.393018418,75.61535512117963,0.7561535512117962
3,1601076786.351157,160107.6786351157,1601.076786351157,436780667.46760124,30147317.880356744,109165221.38124643,1023828964.6103582,1153937.383900709,677.627693593502,43678.06674676012,3014.7317880356745,10916.522138124643,102382.89646103582,115.3937383900709,0.0677627693593502,436.78066746760123,30.14731788035674,109.16522138124643,1023.8289646103582,1.1539373839007088,6.776276935935021e-4,0.018829401648538215,7.207258226074993e-4,0.6394627499057415,0.06818237720505163,0.2728043221855845,4.2323247664954964e-7,59,510971.48949757195,261094.105028683,51.0971489497572,0.5109714894975719
4,1624269041.2871583,162426.90412871583,1624.2690412871582,514406308.6060754,88807203.96374308,99002046.10453741,869586507.9601264,52467523.41622806,0,51440.63086060754,8880.720396374307,9900.204610453742,86958.65079601265,5246.752341622807,0,514.4063086060754,88.80720396374306,99.0020461045374,869.5865079601264,52.46752341622806,0,0.054675181085374544,0.0323022369340057,0.5353709797183718,0.0609517534275497,0.31670018668731886,0,98,906195.9588137048,590356.390150733,90.61959588137049,0.9061959588137047
5/1,1402980166.5222147,140298.01665222147,1402.9801665222146,385078663.9782014,278253308.4018821,223869159.32143176,463183697.8153844,49904146.65103625,2691190.3542786837,38507.86639782014,27825.33084018821,22386.91593214318,46318.36978153844,4990.414665103625,269.11903542786837,385.07866397820135,278.25330840188207,223.86915932143177,463.18369781538433,49.90414665103624,2.6911903542786835,0.1983301796002091,0.03557010130424112,0.33014272679531165,0.15956687390412017,0.27447192281609784,0.001918195580020034,242,1149807.0595119095,1699829.83147485,114.98070595119096,1.1498070595119094
5/2,207907796.15999535,20790.779615999534,207.90779615999534,40859436.0508365,29879366.665047802,27889632.44153663,108702836.43415439,576450.262029866,74.30639016628265,4085.9436050836507,2987.93666650478,2788.9632441536633,10870.28364341544,57.6450262029866,0.007430639016628266,40.8594360508365,29.8793666650478,27.88963244153663,108.70283643415439,0.5764502620298659,7.430639016628265e-5,0.1437145081469391,0.002772624560871488,0.5228415597773072,0.1341442358422874,0.1965267142719032,3.574006917427002e-7,45,663985.9258899512,249845.76464763,66.39859258899511,0.6639859258899512
5/3,83040255.73497908,8304.025573497907,83.04025573497907,7563144.429074028,28716185.414113924,9509543.500663927,37251491.43157567,0,0,756.3144429074028,2871.6185414113925,950.9543500663927,3725.1491431575673,0,0,7.563144429074027,28.716185414113923,9.509543500663927,37.25149143157567,0,0,0.34581041640527843,0,0.44859557695080904,0.11451727137032669,0.09107804837706203,0,18,1595343.63411744,154913.064570459,159.534363411744,1.59534363411744
6/1,1122692171.098038,112269.2171098038,1122.692171098038,387881861.0881347,144822609.1720625,128933135.23204762,445971482.0236152,15083616.194674337,0,38788.186108813476,14482.26091720625,12893.313523204763,44597.14820236152,1508.3616194674337,0,387.8818610881347,144.82260917206247,128.93313523204762,445.9714820236151,15.083616194674335,0,0.1289958306473449,0.013435219896404867,0.3972339823011656,0.1148428202772144,0.3454926212843995,0,110,1316569.174291477,875552.564774304,131.6569174291477,1.316569174291477
6/2,372177907.34171265,37217.79073417127,372.1779073417126,112829551.94509271,68419961.44534627,48103968.18297814,138913720.4596863,3910544.1185802775,161.1900289207697,11282.955194509272,6841.996144534626,4810.396818297814,13891.37204596863,391.0544118580278,0.01611900289207697,112.8295519450927,68.41996144534626,48.103968182978136,138.9137204596863,3.9105441185802774,1.611900289207697e-4,0.18383670845493508,0.010507190355578623,0.37324547674492564,0.12924992922487416,0.3031602621202849,4.330994014987949e-7,87,786436.3384522559,498473.896731237,78.6436338452256,0.7864363384522559
6/Bekkevoortse,19344373.90870617,1934.437390870617,19.344373908706167,2743778.4900393677,18552.11438064083,1946836.7684664882,14635218.225437332,0,0,274.3778490039368,1.855211438064083,194.68367684664884,1463.5218225437332,0,0,2.7437784900393676,0.01855211438064083,1.9468367684664882,14.635218225437331,0,0,9.590444471449771e-4,0,0.7565620006368143,0.1006409810756548,0.14183857813069345,0,1,18552.11438064083,790.205531924851,1.855211438064083,0.01855211438064083
7/NO,60834240.2373734,6083.42402373734,60.83424023737339,18561526.38885958,7625606.246736086,11108168.316214137,20647619.925083727,2891284.405685521,34.954794343560934,1856.1526388859584,762.5606246736087,1110.8168316214137,2064.7619925083727,289.12844056855215,0.0034954794343560937,18.56152638885958,7.625606246736086,11.108168316214137,20.647619925083724,2.8912844056855214,3.495479434356093e-5,0.12535056272555056,0.047527254296327454,0.33940787037887427,0.18259730495310525,0.30511643305534936,5.745907930660162e-7,14,544686.160481149,61335.4644902173,54.4686160481149,0.5446861604811489
7/NW,188173335.89207,18817.333589207,188.17333589206999,75478177.70036395,25317986.301722303,3916695.441264717,83459724.74087547,0,751.7078435719013,7547.817770036396,2531.798630172231,391.66954412647175,8345.972474087546,0,0.07517078435719013,75.47817770036394,25.317986301722303,3.9166954412647166,83.45972474087546,0,7.517078435719012e-4,0.13454608848643607,0,0.4435257755580483,0.02081429562109269,0.4011098455716156,3.994762807431208e-6,34,744646.655933009,164416.723567894,74.46466559330091,0.7446466559330089
7/rest FBZ7,1041347771.9467854,104134.77719467855,1041.3477719467853,242174478.40665787,33496260.270424932,42975833.88095842,721813681.1271843,887423.1711970916,95.09036284685135,24217.447840665787,3349.6260270424937,4297.583388095843,72181.36811271842,88.74231711970916,0.009509036284685135,242.17447840665787,33.49626027042493,42.97583388095842,721.8136811271843,0.8874231711970915,9.509036284685135e-5,0.03216625720320516,8.521871320068857e-4,0.6931533351031841,0.041269434706347606,0.23255869454055295,9.13147033186437e-8,67,499944.18314067065,290076.013971874,49.99441831406707,0.49994418314067063
8/A,46115012.14445139,4611.501214445139,46.115012144451384,8682087.023977904,0,0,37432925.57988643,0,0,868.2087023977905,0,0,3743.2925579886432,0,0,8.682087023977903,0,0,37.43292557988643,0,0,0,0,0.811729713149179,0,0.18827029681315052,0,NA,NA,NA,NA,NA
8/B,81764256.04664885,8176.425604664885,81.76425604664884,21230492.31257205,24555727.523651037,3189403.1470226366,32213342.80032181,575276.8861460704,13.376935247331858,2123.0492312572055,2455.572752365104,318.94031470226366,3221.334280032181,57.527688614607044,0.0013376935247331858,21.23049231257205,24.555727523651036,3.1894031470226363,32.21334280032181,0.5752768861460703,1.3376935247331857e-5,0.30032349966764565,0.007035799186112065,0.39397830247416643,0.03900730345058103,0.2596549316177897,1.6360370526333577e-7,22,1116169.432893229,141507.319732428,111.6169432893229,1.116169432893229
8/C,130066948.40640977,13006.694840640977,130.06694840640975,59253310.57404426,7049816.401565155,263752.92217962636,63500022.96107411,0,45.54754663258791,5925.331057404425,704.9816401565156,26.375292217962638,6350.00229610741,0,0.004554754663258791,59.25331057404425,7.049816401565155,0.26375292217962637,63.5000229610741,0,4.5547546632587905e-5,0.054201443855953005,0,0.4882102927690798,0.0020278243274801737,0.455560088862085,3.501854021382061e-7,18,391656.4667536197,71907.1256409048,39.16564667536198,0.3916564667536197
8/D,34057155.57968957,3405.715557968957,34.057155579689564,5938664.9610476885,27271780.349559393,0,435609.6496517283,411108.543971343,0,593.866496104769,2727.17803495594,0,43.56096496517283,41.110854397134304,0,5.938664961047689,27.271780349559393,0,0.43560964965172827,0.411108543971343,0,0.8007650634753325,0.012071135624036465,0.012790547015368183,0,0.17437348656883397,0,8,3408972.543694924,88744.0019882125,340.89725436949243,3.408972543694924
8/E,83468859.67817582,8346.885967817583,83.46885967817582,42574997.33268327,10768959.061564205,1665962.6182500834,28458908.362089667,0,32.30358859151602,4257.499733268328,1076.8959061564206,166.59626182500836,2845.890836208967,0,0.003230358859151602,42.57499733268327,10.768959061564205,1.6659626182500833,28.458908362089666,0,3.230358859151601e-5,0.12901768519523588,0,0.3409524039482077,0.01995909162618732,0.5100704322167126,3.870136565428876e-7,18,598275.5034202336,83800.9529960877,59.827550342023365,0.5982755034202336
9/A,544167285.3472152,54416.72853472152,544.1672853472152,123816523.20609805,35471545.35428776,53425676.783976935,319142931.6957528,11770230.560635386,540377.7464642525,12381.652320609805,3547.154535428776,5342.567678397694,31914.29316957528,1177.0230560635387,54.03777464642525,123.81652320609804,35.471545354287755,53.42567678397693,319.1429316957528,11.770230560635385,0.5403777464642524,0.06518500157842921,0.021629801859781392,0.586479452714836,0.09817877373846128,0.22753393403114047,9.930360773515727e-4,67,529426.0500639965,333061.91139093,52.942605006399646,0.5294260500639965
9/B,1155993042.387406,115599.30423874063,1155.9930423874061,346078578.37483877,406655352.2377904,65094584.693379015,305842210.77671933,30703444.761109564,1618871.5435690284,34607.857837483876,40665.53522377904,6509.458469337901,30584.221077671933,3070.3444761109567,161.88715435690284,346.07857837483874,406.6553522377904,65.094584693379,305.8422107767193,30.703444761109562,1.6188715435690284,0.3517801036223786,0.026560233180728754,0.2645709788573476,0.05631053328741746,0.2993777347137856,0.0014004163383420248,322,1262904.820614256,2330031.86973044,126.2904820614256,1.262904820614256
