WBE_NR,Area_m2,Area_ha,Area_km2,Area_hab_m2_bebouwd,Area_hab_m2_bos,Area_hab_m2_grasland,Area_hab_m2_landbouw,Area_hab_m2_water,Area_hab_m2_andere,Area_hab_ha_bebouwd,Area_hab_ha_bos,Area_hab_ha_grasland,Area_hab_ha_landbouw,Area_hab_ha_water,Area_hab_ha_andere,Area_hab_km2_bebouwd,Area_hab_km2_bos,Area_hab_km2_grasland,Area_hab_km2_landbouw,Area_hab_km2_water,Area_hab_km2_andere,perc_bos,perc_water,perc_landbouw,perc_grasland,perc_bebouwd,perc_andere,densiteit_bos,gem_opp_bos_m2,perimeter_bos_m,gem_opp_bos_ha,gem_opp_bos_km2
0,337527.5004461317,33.75275004461317,0.33752750044613167,323344.0763688334,560.0509196919946,0,13623.38210762951,0,0,32.33440763688335,0.05600509196919947,0,1.362338210762951,0,0,0.3233440763688334,5.600509196919946e-4,0,0.01362338210762951,0,0,0.001659274930047891,0,0.040362287782840255,0,0.9579784638035386,0,2,280.0254598459973,164.963163702551,0.028002545984599732,2.800254598459973e-4
101,264854422.6676607,26485.442266766073,264.8544226676607,17072262.378941942,2309053.361178253,27724453.56569301,217733853.81732973,14800.60986664692,0,1707.2262378941944,230.9053361178253,2772.445356569301,21773.385381732976,1.480060986664692,0,17.072262378941943,2.309053361178253,27.72445356569301,217.73385381732973,0.01480060986664692,0,0.00871819823856841,5.588205670712444e-5,0.822088797401515,0.10467808423377414,0.0644590420918295,0,7,329864.76588260755,21638.8414564522,32.98647658826076,0.32986476588260755
102,209064571.77116734,20906.457177116736,209.06457177116732,21621159.61064706,5165303.376925184,25495791.59328689,156117029.73583838,665284.0417296381,3.4127402044832706,2162.115961064706,516.5303376925185,2549.5791593286895,15611.702973583839,66.52840417296383,3.412740204483271e-4,21.62115961064706,5.165303376925184,25.49579159328689,156.11702973583837,0.6652840417296382,3.4127402044832705e-6,0.02470673693378758,0.0031821940757032143,0.7467407242328798,0.12195175575321024,0.10341857268056209,1.632385714887505e-8,11,469573.0342659259,48898.5130590989,46.95730342659259,0.46957303426592584
103,81923626.98056132,8192.362698056131,81.92362698056131,1277275.1810694493,328361.967447704,12770237.210218249,67547751.52754223,0,1.0942836862523109,127.72751810694493,32.836196744770405,1277.023721021825,6754.775152754223,0,1.094283686252311e-4,1.2772751810694492,0.32836196744770396,12.770237210218248,67.54775152754223,0,1.0942836862523107e-6,0.004008147338564699,0,0.8245210083724667,0.15587978316985826,0.015591047761746666,1.3357363761640588e-8,1,328361.967447704,2436.78400454209,32.836196744770405,0.32836196744770396
104,44558805.07691382,4455.880507691382,44.558805076913814,27681292.23161891,2217552.4513504365,4421469.55875644,10238491.199640518,0,0,2768.129223161891,221.75524513504368,442.146955875644,1023.8491199640517,0,0,27.68129223161891,2.2175524513504365,4.421469558756439,10.238491199640517,0,0,0.04976687430290548,0,0.22977481514523695,0.09922774076020341,0.6212305779707893,0,5,443510.4902700873,22758.8507940219,44.351049027008735,0.4435104902700873
105,226816303.47116652,22681.630347116654,226.81630347116652,49992634.28854986,11705019.293569835,16371355.76586557,148449171.52343646,298138.5204479178,0,4999.263428854986,1170.5019293569835,1637.1355765865571,14844.917152343647,29.813852044791783,0,49.99263428854986,11.705019293569833,16.37135576586557,148.44917152343646,0.2981385204479178,0,0.05160572284460058,0.0013144492520389653,0.6544907453811304,0.07217891974836253,0.22041023296592546,0,15,780334.6195713223,79757.9044466542,78.03346195713223,0.7803346195713223
106,105986868.41456608,10598.686841456609,105.98686841456608,10503801.593268473,911759.5686411255,17132857.86897097,76036161.00718543,1402297.5536889534,0,1050.3801593268474,91.17595686411255,1713.285786897097,7603.616100718543,140.22975536889535,0,10.503801593268472,0.9117595686411254,17.13285786897097,76.03616100718541,1.4022975536889533,0,0.00860257107583169,0.013230861281832453,0.7174111486129687,0.16165076037491785,0.09910474524242953,0,2,455879.7843205627,6786.86881244123,45.587978432056275,0.4558797843205627
107,72321469.46009773,7232.146946009773,72.32146946009773,18271860.005144894,552540.8023359961,1587052.6552738063,51910016.13794139,0,0,1827.1860005144895,55.25408023359961,158.70526552738065,5191.001613794139,0,0,18.271860005144895,0.5525408023359961,1.5870526552738065,51.91001613794139,0,0,0.007640066033791695,0,0.7177677185691305,0.021944419369817125,0.2526477979713357,0,2,276270.40116799803,6150.50723238303,27.627040116799805,0.276270401167998
108,86875847.2424888,8687.58472424888,86.8758472424888,34424305.55242936,300669.01311426866,3577183.2129280614,48573686.20716721,0,3.256849892437458,3442.4305552429364,30.066901311426868,357.71832129280614,4857.368620716721,0,3.256849892437458e-4,34.42430555242936,0.30066901311426864,3.577183212928061,48.573686207167206,0,3.256849892437458e-6,0.0034609045282175846,0,0.5591161151106568,0.04117580808096627,0.3962471347916052,3.748855402062329e-8,2,150334.50655713433,2777.84457292238,15.033450655713434,0.15033450655713432
109,133490994.87833174,13349.099487833175,133.49099487833172,9828483.433002299,1757991.3245568357,6016606.689504551,115887908.07436495,0,5.356903098523617,982.8483433002299,175.7991324556836,601.6606689504551,11588.790807436495,0,5.356903098523617e-4,9.828483433002297,1.7579913245568357,6.016606689504551,115.88790807436494,0,5.356903098523617e-6,0.013169362668688844,0,0.868132776896218,0.04507125514337722,0.07362656516239402,4.012932185729893e-8,4,439497.8311392089,16676.1063261563,43.949783113920894,0.43949783113920893
