Class_original;Class_simplified
Andere bebossing;Ander
Andere bedekking;Ander
Heide in natuurbeheer;Ander
Meerjarige fruitteelten (appel);Ander
Niet nader omschreven gewas - kleine landbouwer;Ander
Aardappelen (consumptie);Ander
Gierst, sorghum, kanariezaad of harde tarwe;Graangewassen
Granen;Graangewassen
Wintertarwe;Graangewassen
Andere granen (bv. Mengkoren);Graangewassen
Blijvend grasland;Grasland
Engels raaigras;Grasland
Grasland;Grasland
Grassen in natuurbeheer;Grasland
Graszoden;Grasland
Italiaans raaigras;Grasland
Meerjarige grasklaver;Grasland
Tijdelijk grasland;Grasland
Weiland met bomen (> 50 bomen per ha);Grasland
Eenjarige grasklaver;Grasland
Gele mosterd;Grasland
Tuin ;Grasland
Groenten;Groenten
Silomais;Mais
Maïs;Mais
Andere voedergewassen;Voedergewas
Voedergewas;Voedergewas
