"","Question_label","Year","meanAnswer","pci2","Sector","onderwerp"
"1","Anticonceptie","2020",0.153249272550921,0.240539625197562,"Publiek buiten everzwijngebied","Voorstellen maatregelen"
"2","Anticonceptie","2020",0.475073313782991,0.244167380136986,"Publiek in everzwijngebied","Voorstellen maatregelen"
"3","Elektrische omheining","2017",-0.342829076620825,0.291432988138845,"Publiek buiten everzwijngebied","Maatregelen"
"4","Elektrische omheining","2020",0.0649854510184287,0.326655753744261,"Publiek buiten everzwijngebied","Maatregelen"
"5","Elektrische omheining","2017",-0.104622871046229,0.331115320861947,"Publiek in everzwijngebied","Maatregelen"
"6","Elektrische omheining","2020",0.254154447702835,0.323232632093933,"Publiek in everzwijngebied","Maatregelen"
"7","Jacht","2017",-0.496070726915521,0.270716494069422,"Publiek buiten everzwijngebied","Jacht"
"8","Jacht","2020",-0.134820562560621,0.332702077218334,"Publiek buiten everzwijngebied","Jacht"
"9","Jacht","2017",-0.172749391727494,0.350775515036704,"Publiek in everzwijngebied","Jacht"
"10","Jacht","2020",0.0146627565982405,0.399014646526419,"Publiek in everzwijngebied","Jacht"
"11","Kooien","2017",-1.07760314341847,0.154223968565815,"Publiek buiten everzwijngebied","Kooien"
"12","Kooien","2020",-0.940834141610087,0.184812222473094,"Publiek buiten everzwijngebied","Kooien"
"13","Kooien","2017",-0.790754257907543,0.271086905043808,"Publiek in everzwijngebied","Kooien"
"14","Kooien","2020",-0.705767350928641,0.274152244373777,"Publiek in everzwijngebied","Kooien"
"15","Niet-elektrische omheining","2017",0.557956777996071,0.203912096988973,"Publiek buiten everzwijngebied","Maatregelen"
"16","Niet-elektrische omheining","2020",0.713870029097963,0.173049785504629,"Publiek buiten everzwijngebied","Maatregelen"
"17","Niet-elektrische omheining","2017",0.67639902676399,0.217120530428605,"Publiek in everzwijngebied","Maatregelen"
"18","Niet-elektrische omheining","2020",0.772238514173998,0.202087282901174,"Publiek in everzwijngebied","Maatregelen"
"19","Translocatie","2020",0.343355965082444,0.236927071573719,"Publiek buiten everzwijngebied","Voorstellen maatregelen"
"20","Translocatie","2020",0.262952101661779,0.276568806568004,"Publiek in everzwijngebied","Voorstellen maatregelen"
"21"," Kooien","2016",1.0939226519337,0.351282051282051,"Landbouwers","Kooien"
"22"," Kooien","2016",-0.77124183006536,0.387938399760776,"Jagers","Kooien"
"23"," Kooien","2016",-0.46031746031746,0.443247669438146,"Natuurvereniging","Kooien"
"24","Aankorrelplaatsen","2016",1.49468085106383,0.19451674966048,"Landbouwers","Jacht"
"25","Aankorrelplaatsen","2016",1.34185303514377,0.21766291033807,"Jagers","Jacht"
"26","Aankorrelplaatsen","2016",-0.7578125,0.31732177734375,"Natuurvereniging","Jacht"
"27","Drijfjacht","2016",1.55851063829787,0.131790402897239,"Landbouwers","Jacht"
"28","Drijfjacht","2016",1.07692307692308,0.285431048652202,"Jagers","Jacht"
"29","Drijfjacht","2016",-0.7890625,0.30535888671875,"Natuurvereniging","Jacht"
"30","Hoogzitjacht","2016",1.71657754010695,0.0388355067490277,"Landbouwers","Jacht"
"31","Hoogzitjacht","2016",1.75796178343949,0.0324658201144063,"Jagers","Jacht"
"32","Hoogzitjacht","2016",-0.062992125984252,0.31609623015873,"Natuurvereniging","Jacht"
"33","Nachtjacht","2016",1.47340425531915,0.19100837483024,"Landbouwers","Jacht"
"34","Nachtjacht","2016",1.2604501607717,0.303205128205128,"Jagers","Jacht"
"35","Nachtjacht","2016",-1.08,0.218830005120328,"Natuurvereniging","Jacht"
"36","Preventieve maatregelen","2016",-0.845303867403315,0.445512820512821,"Landbouwers","Maatregelen"
"37","Preventieve maatregelen","2016",-0.403973509933775,0.452030612692426,"Jagers","Maatregelen"
"38","Preventieve maatregelen","2016",1.14285714285714,0.246031746031746,"Natuurvereniging","Maatregelen"
