"","Year","Groep","Score","Question","aantal","Antwoord","Question_label","onderwerp"
"69",2020,"0",2,"Q19e",102,"Erg belangrijk","Translocatie","Voorstellen maatregelen"
"70",2020,"0",2,"Q19f",102,"Erg belangrijk","Anticonceptie","Voorstellen maatregelen"
"71",2020,"1",-2,"Q19a",30,"Helemaal niet belangrijk","Niet-elektrische omheining","Maatregelen"
"72",2020,"1",-2,"Q19b",94,"Helemaal niet belangrijk","Elektrische omheining","Maatregelen"
"73",2020,"1",-2,"Q19c",180,"Helemaal niet belangrijk","Jacht","Jacht"
"74",2020,"1",-2,"Q19d",327,"Helemaal niet belangrijk","Kooien","Kooien"
"75",2020,"1",-2,"Q19e",63,"Helemaal niet belangrijk","Translocatie","Voorstellen maatregelen"
"76",2020,"1",-2,"Q19f",52,"Helemaal niet belangrijk","Anticonceptie","Voorstellen maatregelen"
"77",2020,"1",-1,"Q19a",85,"Niet belangrijk","Niet-elektrische omheining","Maatregelen"
"78",2020,"1",-1,"Q19b",169,"Niet belangrijk","Elektrische omheining","Maatregelen"
"79",2020,"1",-1,"Q19c",172,"Niet belangrijk","Jacht","Jacht"
"80",2020,"1",-1,"Q19d",287,"Niet belangrijk","Kooien","Kooien"
"81",2020,"1",-1,"Q19e",186,"Niet belangrijk","Translocatie","Voorstellen maatregelen"
"82",2020,"1",-1,"Q19f",130,"Niet belangrijk","Anticonceptie","Voorstellen maatregelen"
"83",2020,"1",0,"Q19a",191,"Neutraal","Niet-elektrische omheining","Maatregelen"
"84",2020,"1",0,"Q19b",267,"Neutraal","Elektrische omheining","Maatregelen"
"85",2020,"1",0,"Q19c",248,"Neutraal","Jacht","Jacht"
"86",2020,"1",0,"Q19d",247,"Neutraal","Kooien","Kooien"
"87",2020,"1",0,"Q19e",310,"Neutraal","Translocatie","Voorstellen maatregelen"
"88",2020,"1",0,"Q19f",309,"Neutraal","Anticonceptie","Voorstellen maatregelen"
"89",2020,"1",1,"Q19a",499,"Belangrijk","Niet-elektrische omheining","Maatregelen"
"90",2020,"1",1,"Q19b",369,"Belangrijk","Elektrische omheining","Maatregelen"
"91",2020,"1",1,"Q19c",299,"Belangrijk","Jacht","Jacht"
"92",2020,"1",1,"Q19d",105,"Belangrijk","Kooien","Kooien"
"93",2020,"1",1,"Q19e",347,"Belangrijk","Translocatie","Voorstellen maatregelen"
"94",2020,"1",1,"Q19f",344,"Belangrijk","Anticonceptie","Voorstellen maatregelen"
"95",2020,"1",2,"Q19a",218,"Erg belangrijk","Niet-elektrische omheining","Maatregelen"
"96",2020,"1",2,"Q19b",124,"Erg belangrijk","Elektrische omheining","Maatregelen"
"97",2020,"1",2,"Q19c",124,"Erg belangrijk","Jacht","Jacht"
"98",2020,"1",2,"Q19d",57,"Erg belangrijk","Kooien","Kooien"
"99",2020,"1",2,"Q19e",117,"Erg belangrijk","Translocatie","Voorstellen maatregelen"
"100",2020,"1",2,"Q19f",188,"Erg belangrijk","Anticonceptie","Voorstellen maatregelen"
"101",2016,"BB",-2,"Q34a",2,"Helemaal niet belangrijk","Hoogzitjacht","Jacht"
"102",2016,"BB",-2,"Q34b",5,"Helemaal niet belangrijk","Drijfjacht","Jacht"
