"","Jaar","Aantal","Type"
"1","2018","61","WBE"
"2","2019","86","WBE"
"3","2020","20","WBE"
"4","2021","23","WBE"
"5","2019","5","FBZ"
"6","2020","10","FBZ"
"7","2021","11","FBZ"
