id,jaar,Aanwezig,x,y,gemeente,provincie,aantal,gedrag,methode,typewaarne,status,bijzonderh,periode_3jaar,periode_2jaar,TAG,Shape_Leng,Shape_Area,UIDN,OIDN,TERRID,NISCODE,NAAM,DATPUBLBS,NUMAC,LENGTE,OPPERVL,geometry,
155520226,2018,1,166457.2665,165229.3277,Huldenberg,Vlaams-Brabant,3,ter plaatse,cameraval,losse waarneming,Goedgekeurd op basis van bewijsmateriaal,1 adult 2 biggen,4,6,FS12A,20003.9486657,25009872.7388,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.60218877650941, 50.7972910129526)
150710349,2018,1,168521.5678,166647.384,Huldenberg,Vlaams-Brabant,1,ter plaatse,andere sporen,ObsMapp,Goedgekeurd op basis van kennisregels,,4,6,FS12A,20003.9486657,25009872.7388,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.63154089584296, 50.8099765427932)
155462190,2018,1,169330.8441,164926.3003,Huldenberg,Vlaams-Brabant,11,vluchtend,gezien,losse waarneming,Goedgekeurd op basis van bewijsmateriaal,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.6429326359434, 50.7944783828051)
72708197,2012,7,169119.1902,164744.0848,Huldenberg,Vlaams-Brabant,1,ter plaatse,,,Goedgekeurd op basis van expertoordeel,sporen langs het knuppelpad,2,3,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.63992118396304, 50.7928473470205)
74540202,2013,6,169128.7112,164209.9588,Huldenberg,Vlaams-Brabant,1,sporen,,losse waarneming,Goedgekeurd op basis van expertoordeel,,2,3,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64002847294831, 50.7880454611903)
155673536,2018,1,169212.2461,164811.558,Huldenberg,Vlaams-Brabant,1,ter plaatse,gezien en gehoord,losse waarneming,Goedgekeurd op basis van kennisregels,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64124451574075, 50.7934508325383)
155673569,2018,1,169212.2461,164811.558,Huldenberg,Vlaams-Brabant,12,ter plaatse,onbekend,losse waarneming,Goedgekeurd op basis van kennisregels,liepen van de kijktoren in een lange rij terug het gebied in dat niet publiek toegankelijk is,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64124451574075, 50.7934508325383)
155825809,2018,1,169241.7727,163891.6024,Huldenberg,Vlaams-Brabant,1,ter plaatse,vraatsporen,ObsMapp,Goedgekeurd op basis van kennisregels,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64161522643572, 50.7851798321472)
156592874,2018,1,169028.1386,165053.3813,Huldenberg,Vlaams-Brabant,1,ter plaatse,vraatsporen,ObsMapp,Goedgekeurd op basis van kennisregels,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.63864578575832, 50.7956307821212)
161359149,2018,1,169343.5616,164756.177,Huldenberg,Vlaams-Brabant,17,ter plaatse,onbekend,losse waarneming,Goedgekeurd op basis van kennisregels,1 m?�le_ 2 femelles et 14 jeunes,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64310407638075, 50.7929486227046)
161540540,2018,1,169343.5616,164756.177,Huldenberg,Vlaams-Brabant,17,ter plaatse,onbekend,copied observation,Goedgekeurd op basis van kennisregels,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64310407638075, 50.7929486227046)
161980204,2018,1,169318.2716,164698.005,Huldenberg,Vlaams-Brabant,1,ter plaatse,vraatsporen,losse waarneming,Goedgekeurd op basis van kennisregels,,4,6,FS12B,25363.6148568,11683799.0674,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64274233567093, 50.792426522384)
113993500,2015,4,168937.8017,167862.2979,Huldenberg,Vlaams-Brabant,5,sporen,onbekend,losse waarneming,Goedgekeurd op basis van bewijsmateriaal,,3,4,FS13D,20003.7490661,25009373.3399,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.63750903946156, 50.8208846205831)
119394669,2016,3,169231.842,168044.833,Huldenberg,Vlaams-Brabant,1,sporen,onbekend,losse waarneming,Goedgekeurd op basis van bewijsmateriaal,cameradeksel 6.5 cm diameter,3,5,FS13D,20003.7490661,25009373.3399,320,12,290,24045,Huldenberg,1982-12-29,1982001920,43414.13,39996718.54,c(4.64169144228953, 50.8225158557924)
