id,naam_nl,naam_lat,speciesid,datum,invoerdatum,aantal,gedrag,methode,kleed,geslacht,x,y,lon,lat,utm1,gebied,gemeente,deelgemeente,provincie,typewaarneming,status,embargo_datum,toestemming_wnr,bijzonderheden,precisie,soortgroep,familie,aanleverdatum,jaar,TAG,Shape_Leng,Shape_Area,UIDN,OIDN,TERRID,NISCODE,NAAM,DATPUBLBS,NUMAC,LENGTE,OPPERVL,geometry
244933293,Everzwijn,Sus scrofa,432,2022-06-10,10/06/2022,1,ter plaatse,onbekend,onbekend,onbekend,217911.2393,172068.8287,5.333245,50.85503833,FS6436,Wellen - Herkvallei - Grote Beemd (LiLa),Wellen,Wellen,Limburg,ObsIdentify,Goedgekeurd op basis van bewijsmateriaal,1/01/1980,3,NULL,5,Zoogdieren,Suidae,5/08/2022,2022,FS63A,20000.727105,25001818.0993,312,4,48,73098,Wellen,1976-01-23,1975123003,25602.6,26801673.74,"c(5.33324499535188, 50.8550383356309)"
247711156,Everzwijn,Sus scrofa,432,2022-06-17,3/07/2022,1,ter plaatse,onbekend,onbekend,onbekend,217758.4787,172008.5685,5.3310646,50.8545145,FS6436,Wellen - Herkvallei - Grote Beemd (LiLa),Wellen,Wellen,Limburg,ObsIdentify,Goedgekeurd op basis van bewijsmateriaal,1/01/1980,3,NULL,999,Zoogdieren,Suidae,5/08/2022,2022,FS63A,20000.727105,25001818.0993,312,4,48,73098,Wellen,1976-01-23,1975123003,25602.6,26801673.74,"c(5.33106459526598, 50.8545145025936)"
202387576,Everzwijn,Sus scrofa,432,2018-01-23,27/10/2020,1,slachtoffer verkeer,gezien,onbekend,onbekend,151081.3206,200328.9978,4.3841977,51.11304227,ES9663,Aartselaar - De Reukens,Aartselaar,Aartselaar,Antwerpen,Site,Onbehandeld,1/01/1980,3,Gegevens faunaslachtoffers Politiezones,10,Zoogdieren,Suidae,5/08/2022,2018,ES96D,20005.5853443,25013965.3125,313,5,140,11001,Aartselaar,1982-12-29,1982001920,22122.9,11025464.53,"c(4.38419769642519, 51.113042272216)"
73282828,Everzwijn,Sus scrofa,432,2013-01-18,19/01/2013,1,ter plaatse,NULL,juveniel,onbekend,189320.4037,164662.7102,4.926420674,50.79110058,FS3528,Tienen - Zuid - Getevallei,Tienen,Bost,Vlaams-Brabant,NULL,Onbehandeld,1/01/1980,3,Gezien van uit de wagen! Speciaal voor gestopt...,100,Zoogdieren,Suidae,5/08/2022,2013,FS32B,20366.6038582,23935917.8893,314,6,278,24107,Tienen,1976-01-23,1975123003,52903.96,72764791.87,"c(4.92642066879239, 50.7911005783907)"
64456207,Everzwijn,Sus scrofa,432,2012-04-16,16/04/2012,4,ter plaatse,NULL,onbekend,onbekend,248369.0588,163569.7824,5.763460278,50.77429258,FS9428,'s-Gravenvoeren - Hoogbos,Voeren,'s-Gravenvoeren,Limburg,NULL,Goedgekeurd op basis van bewijsmateriaal,1/01/1980,4,2 volwassen dieren_ 2 merkelijk kleiner.,10,Zoogdieren,Suidae,5/08/2022,2012,FS92A,21804.3342011,8071940.07592,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.76346027290629, 50.7742925777378)"
214640350,Everzwijn,Sus scrofa,432,2021-05-23,23/05/2021,2,ter plaatse,onbekend,onbekend,onbekend,248105.0331,163007.0794,5.759568214,50.76927948,FS9427,'s-Gravenvoeren - Hoogbos,Voeren,'s-Gravenvoeren,Limburg,ObsMapp,Onbehandeld,1/01/2007,4,NULL,3,Zoogdieren,Suidae,5/08/2022,2021,FS92A,21804.3342011,8071940.07592,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.75956821023755, 50.7692794831176)"
40034966,Everzwijn,Sus scrofa,432,2008-06-01,8/06/2008,1,sporen,NULL,onbekend,onbekend,250282.4794,162880.8938,5.790395737,50.76777444,FS9627,Altenbroek,Voeren,'s-Gravenvoeren,Limburg,Site,Onbehandeld,1/01/1980,3,wroetsporen,100,Zoogdieren,Suidae,5/08/2022,2008,FS92B,18793.5663561,11842395.0468,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.79039573241365, 50.7677744396828)"
86495358,Everzwijn,Sus scrofa,432,2014-07-20,20/07/2014,1,sporen,NULL,onbekend,onbekend,251647.2001,161406.1025,5.809331965,50.75428239,FS9826,Altenbroek,Voeren,Sint-Martens-Voeren,Limburg,ObsMapp,Goedgekeurd op basis van kennisregels,1/01/2007,3,Haren aan prikkeldraad,25,Zoogdieren,Suidae,5/08/2022,2014,FS92B,18793.5663561,11842395.0468,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.80933195957114, 50.7542823931114)"
86547943,Everzwijn,Sus scrofa,432,2014-07-20,22/07/2014,1,sporen,NULL,onbekend,onbekend,251647.2001,161406.1025,5.809331965,50.75428239,FS9826,Altenbroek,Voeren,Sint-Martens-Voeren,Limburg,copied observation,Goedgekeurd op basis van kennisregels,1/01/2007,3,NULL,25,Zoogdieren,Suidae,5/08/2022,2014,FS92B,18793.5663561,11842395.0468,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.80933195957114, 50.7542823931114)"
86581121,Everzwijn,Sus scrofa,432,2014-07-20,23/07/2014,1,sporen,NULL,onbekend,onbekend,251647.2001,161406.1025,5.809331965,50.75428239,FS9826,Altenbroek,Voeren,Sint-Martens-Voeren,Limburg,copied observation,Goedgekeurd op basis van kennisregels,1/01/2007,3,NULL,25,Zoogdieren,Suidae,5/08/2022,2014,FS92B,18793.5663561,11842395.0468,317,9,55,73109,Voeren,1976-01-23,1975123003,53709.95,50733587.75,"c(5.80933195957114, 50.7542823931114)"
