id;jaar;Aanwezig;x;y;gemeente;provincie;aantal;gedrag;methode;typewaarne;status;bijzonderh;periode_3jaar;periode_2jaar
43758074;2008;11;191235,66580000000;190682,72720000000;Scherpenheuvel-Zichem;Vlaams-Brabant;2;sporen;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;RELATIEF VERSE SPOREN;1,00000000000;1
40146795;2008;11;213178,06330000000;196097,14570000000;Beringen;Limburg;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;In het duister voor ons wegvluchtend uit Blauwe bessenplantage;1,00000000000;1
40239426;2008;11;237280,29860000000;185696,60620000000;Maasmechelen;Limburg;3;sporen;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;verschillende wroetsporen in ven;1,00000000000;1
40376022;2008;11;190545,32160000000;195421,35990000000;Laakdal;Antwerpen;2;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Niet zelf waargenomen. Waarnemer is Ludo Verwimp.;1,00000000000;1
40370642;2008;11;192165,52990000000;195203,22380000000;Laakdal;Antwerpen;4;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;het leken jonge dieren;1,00000000000;1
40449188;2008;11;223170,67180000000;184568,38160000000;Genk;Limburg;2;foeragerend;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;liepen door een vijver (19h20) en daarna het bos in_ kon niet zien of het mannetjes waren;1,00000000000;1
40472261;2008;11;190043,11020000000;195009,41620000000;Herselt;Antwerpen;4;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Tamme jonge (uitgezette)beesten. Waren een omheinde tuin binnen gedrongen en zijn hier kunnen worden gevangen door de mensen van het opvangcentrum van Heusden-Zolder.;1,00000000000;1
40867508;2008;11;191306,00720000000;195850,36860000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40867459;2008;11;191375,16300000000;195853,91860000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Dier zit hier al enkele weken en sluit zich aan bij de koeien die in de weide staan.Heel speels t.o.v.deze koeien. Heel tam dier. Waarschijnlijk dus uitgezet of ontsnapt.;1,00000000000;1
40869512;2008;11;191372,29850000000;195835,89570000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40878530;2008;11;191408,27280000000;195851,18230000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40880945;2008;11;191384,28200000000;195841,99110000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40889724;2008;11;191378,29020000000;195838,94340000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40907723;2008;11;191381,15480000000;195856,96630000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40918992;2008;11;191381,13090000000;195859,96620000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
40918073;2008;11;191373,63520000000;195856,90650000000;Laakdal;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
41053766;2008;11;185613,45480000000;196063,23920000000;Herselt;Antwerpen;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Vanuit de wagen zagen we een volwassen everzwijn staan op een bosweggetje. We keerden de wagen omdat we onze ogen niet konden geloven. Het dier was genaderd tot aan de baan. Waargenomen met Elsje De Pauw.;1,00000000000;1
41730986;2008;11;187763,47080000000;187852,34710000000;Aarschot;Vlaams-Brabant;1;vluchtend;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
41233482;2008;11;224505,93910000000;184803,79100000000;Genk;Limburg;1;sporen;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
41698100;2009;10;191139,01920000000;188815,27680000000;Scherpenheuvel-Zichem;Vlaams-Brabant;3;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Niet zelf waargenomen. Waarnemer: Jan Peeters.Dieren zijn gefotografeerd. Waarschijnlijk uitgezette beesten. Mak.;1,00000000000;1
41698104;2009;10;191139,01920000000;188815,27680000000;Scherpenheuvel-Zichem;Vlaams-Brabant;3;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Niet zelf waargenomen. Waarnemer: Jan Peeters.;1,00000000000;1
41703634;2009;10;191784,71840000000;188676,22370000000;Scherpenheuvel-Zichem;Vlaams-Brabant;1;sporen;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;Veel wroetplaatsen in een sparrenbos_ alsook wissels met pootafdrukken.;1,00000000000;1
41728707;2009;10;190978,47380000000;188165,09520000000;Scherpenheuvel-Zichem;Vlaams-Brabant;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
41750795;2009;10;191047,60720000000;188184,46750000000;Scherpenheuvel-Zichem;Vlaams-Brabant;2;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
42004259;2009;10;242016,51470000000;193009,83410000000;Dilsen-Stokkem;Limburg;1;sporen;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;met Veerle Cielen en Jos Keyers;1,00000000000;1
42033519;2009;10;189315,86040000000;188530,81490000000;Scherpenheuvel-Zichem;Vlaams-Brabant;3;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
42725014;2009;10;184537,49540000000;182323,49630000000;Holsbeek;Vlaams-Brabant;1;ter plaatse;;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;;1,00000000000;1
